adaptation_rate,capacity,demand,exceeds_threshold,experiment_name,failure_rate,measurement_noise,risk_score,run_id,seed,threshold
0.285283,0.580414,0.653905,0,uncertainty_quantification_computational_workflows,0.061799,0.019884,0.473774,1,2026,0.62
0.326226,0.397314,0.601278,0,uncertainty_quantification_computational_workflows,0.159499,-0.04313,0.466532,2,2026,0.62
0.167101,0.330308,0.524976,0,uncertainty_quantification_computational_workflows,0.220685,0.003053,0.549655,3,2026,0.62
0.125475,0.641404,0.71529,0,uncertainty_quantification_computational_workflows,0.314469,0.019994,0.57529,4,2026,0.62
0.373754,0.361506,0.478302,0,uncertainty_quantification_computational_workflows,0.235061,0.079928,0.565807,5,2026,0.62
0.260298,0.635606,0.515227,0,uncertainty_quantification_computational_workflows,0.0,-0.001189,0.370706,6,2026,0.62
0.406736,0.60764,0.467578,0,uncertainty_quantification_computational_workflows,0.196858,0.038972,0.428223,7,2026,0.62
0.276858,0.480213,0.418834,0,uncertainty_quantification_computational_workflows,0.211629,-0.032271,0.405325,8,2026,0.62
0.239743,0.54736,0.443121,0,uncertainty_quantification_computational_workflows,0.139322,0.030944,0.444112,9,2026,0.62
0.077376,0.500125,0.645264,0,uncertainty_quantification_computational_workflows,0.111677,0.004396,0.530783,10,2026,0.62
0.248933,0.604217,0.543201,0,uncertainty_quantification_computational_workflows,0.301739,-0.007885,0.467886,11,2026,0.62
0.448871,0.508377,0.546932,0,uncertainty_quantification_computational_workflows,0.261508,0.016528,0.476576,12,2026,0.62
0.221674,0.469635,0.592299,0,uncertainty_quantification_computational_workflows,0.155184,-0.025078,0.476407,13,2026,0.62
0.191539,0.605834,0.559704,0,uncertainty_quantification_computational_workflows,0.146222,0.010566,0.460448,14,2026,0.62
0.263772,0.373366,0.870133,0,uncertainty_quantification_computational_workflows,0.121701,-0.014499,0.605788,15,2026,0.62
0.094072,0.536344,0.459908,0,uncertainty_quantification_computational_workflows,0.130135,0.009615,0.456317,16,2026,0.62
0.325764,0.534093,0.458524,0,uncertainty_quantification_computational_workflows,0.217523,-0.026375,0.402389,17,2026,0.62
0.074889,0.382511,0.415776,0,uncertainty_quantification_computational_workflows,0.245252,0.005197,0.517351,18,2026,0.62
0.286768,0.615067,0.541216,0,uncertainty_quantification_computational_workflows,0.070721,0.015926,0.418394,19,2026,0.62
0.209306,0.657558,0.406747,0,uncertainty_quantification_computational_workflows,0.136938,0.071307,0.441326,20,2026,0.62
0.182582,0.588608,0.69954,0,uncertainty_quantification_computational_workflows,0.241049,-0.086791,0.448784,21,2026,0.62
0.263856,0.688196,0.640684,0,uncertainty_quantification_computational_workflows,0.188592,0.001667,0.455212,22,2026,0.62
0.394692,0.616845,0.535442,0,uncertainty_quantification_computational_workflows,0.329001,-0.032452,0.41758,23,2026,0.62
0.09716,0.502061,0.61933,0,uncertainty_quantification_computational_workflows,0.220146,-0.039402,0.502255,24,2026,0.62
0.439301,0.588588,0.734845,0,uncertainty_quantification_computational_workflows,0.221514,0.001021,0.498534,25,2026,0.62
0.348855,0.430377,0.249688,0,uncertainty_quantification_computational_workflows,0.120942,0.025079,0.376404,26,2026,0.62
0.263991,0.414587,0.37178,0,uncertainty_quantification_computational_workflows,0.308538,-0.003475,0.465066,27,2026,0.62
0.497344,0.522541,0.486516,0,uncertainty_quantification_computational_workflows,0.32499,-0.018533,0.42258,28,2026,0.62
0.096109,0.498754,0.499619,0,uncertainty_quantification_computational_workflows,0.12839,0.016208,0.488815,29,2026,0.62
0.343181,0.464478,0.2894,0,uncertainty_quantification_computational_workflows,0.297398,-0.039623,0.364886,30,2026,0.62
0.429364,0.515934,0.556655,0,uncertainty_quantification_computational_workflows,0.351476,0.030645,0.519847,31,2026,0.62
0.417945,0.396356,0.585146,0,uncertainty_quantification_computational_workflows,0.329138,0.006749,0.53987,32,2026,0.62
0.345174,0.575126,0.502079,0,uncertainty_quantification_computational_workflows,0.201287,0.043234,0.467951,33,2026,0.62
0.194181,0.519562,0.50058,0,uncertainty_quantification_computational_workflows,0.176479,-0.004588,0.457265,34,2026,0.62
0.265808,0.615621,0.466268,0,uncertainty_quantification_computational_workflows,0.206812,-0.018604,0.395729,35,2026,0.62
0.116396,0.526797,0.596862,0,uncertainty_quantification_computational_workflows,0.208469,-0.018567,0.500268,36,2026,0.62
0.445946,0.549979,0.357969,0,uncertainty_quantification_computational_workflows,0.26748,0.013243,0.390727,37,2026,0.62
0.050923,0.327651,0.506174,0,uncertainty_quantification_computational_workflows,0.193755,-0.009266,0.544657,38,2026,0.62
0.367111,0.663115,0.673546,0,uncertainty_quantification_computational_workflows,0.155125,-0.012153,0.434033,39,2026,0.62
0.290101,0.468941,0.574966,0,uncertainty_quantification_computational_workflows,0.28914,0.04092,0.559885,40,2026,0.62
0.317897,0.398194,0.573502,0,uncertainty_quantification_computational_workflows,0.150423,-0.017593,0.480291,41,2026,0.62
0.378359,0.551524,0.556831,0,uncertainty_quantification_computational_workflows,0.083277,-0.062139,0.352865,42,2026,0.62
