baseline_risk,benefit_if_success,case_id,confidence_score,interpretation,intervention_cost,loss_if_failure,risk_band,risk_lower,risk_uncertainty,risk_upper
0.380988,150.248722,1,0.867137,Synthetic case for comparing decision rules under uncertainty.,40.293331,275.125473,moderate,0.339599,0.041389,0.422378
0.215198,122.722537,2,0.72818,Synthetic case for comparing decision rules under uncertainty.,42.737491,87.222285,low,0.081996,0.133202,0.3484
0.326961,87.129147,3,0.768604,Synthetic case for comparing decision rules under uncertainty.,35.212907,198.777012,low,0.219681,0.10728,0.434241
0.529837,126.682287,4,0.774008,Synthetic case for comparing decision rules under uncertainty.,39.17518,246.001572,moderate,0.499576,0.030261,0.560099
0.244891,109.974627,5,0.784339,Synthetic case for comparing decision rules under uncertainty.,34.993329,142.450288,low,0.172559,0.072332,0.317222
0.618296,167.82726,6,0.723331,Synthetic case for comparing decision rules under uncertainty.,49.846417,223.08881,moderate,0.478288,0.140008,0.758303
0.417131,162.030219,7,0.650602,Synthetic case for comparing decision rules under uncertainty.,35.609825,149.70358,moderate,0.291619,0.125512,0.542644
0.34229,187.806766,8,0.700909,Synthetic case for comparing decision rules under uncertainty.,47.668578,167.142995,low,0.193311,0.148979,0.491268
0.573552,167.032064,9,0.785083,Synthetic case for comparing decision rules under uncertainty.,37.664184,252.502721,moderate,0.473467,0.100085,0.673638
0.135364,95.363763,10,0.735234,Synthetic case for comparing decision rules under uncertainty.,29.049834,65.980844,low,0.024012,0.111352,0.246715
0.428633,124.242235,11,0.719996,Synthetic case for comparing decision rules under uncertainty.,36.356379,172.74017,moderate,0.257119,0.171514,0.600148
0.533306,117.341182,12,0.675063,Synthetic case for comparing decision rules under uncertainty.,41.924455,135.340113,moderate,0.40094,0.132366,0.665672
0.373873,117.858437,13,0.69992,Synthetic case for comparing decision rules under uncertainty.,34.773015,163.360028,moderate,0.218596,0.155277,0.52915
0.373204,140.779935,14,0.909836,Synthetic case for comparing decision rules under uncertainty.,36.360286,251.626256,moderate,0.267896,0.105309,0.478513
0.298415,113.666855,15,0.762481,Synthetic case for comparing decision rules under uncertainty.,44.411735,177.443487,low,0.163331,0.135083,0.433498
0.833865,155.772012,16,0.699924,Synthetic case for comparing decision rules under uncertainty.,44.237854,297.012537,high,0.684607,0.149258,0.983123
0.301403,139.516739,17,0.836106,Synthetic case for comparing decision rules under uncertainty.,34.446635,152.114316,low,0.161205,0.140198,0.441601
0.175286,137.275065,18,0.775509,Synthetic case for comparing decision rules under uncertainty.,21.417327,59.62604,low,0.068613,0.106673,0.281959
0.254071,141.125877,19,0.717051,Synthetic case for comparing decision rules under uncertainty.,31.430414,119.517187,low,0.164553,0.089518,0.34359
0.431676,147.288085,20,0.831825,Synthetic case for comparing decision rules under uncertainty.,32.458833,137.015074,moderate,0.352544,0.079131,0.510807
0.838934,173.634538,21,0.811025,Synthetic case for comparing decision rules under uncertainty.,36.118156,242.644285,high,0.683588,0.155346,0.99428
0.167508,93.820152,22,0.795784,Synthetic case for comparing decision rules under uncertainty.,23.482192,141.974207,low,0.064634,0.102874,0.270382
0.279334,114.089343,23,0.835903,Synthetic case for comparing decision rules under uncertainty.,42.65929,183.860038,low,0.124001,0.155334,0.434668
0.451146,191.014684,24,0.900281,Synthetic case for comparing decision rules under uncertainty.,55.384336,151.540707,moderate,0.391548,0.059597,0.510743
0.166703,101.098337,25,0.803381,Synthetic case for comparing decision rules under uncertainty.,35.943484,141.899975,low,0.061901,0.104803,0.271506
0.47033,138.485883,26,0.820978,Synthetic case for comparing decision rules under uncertainty.,30.251736,209.113896,moderate,0.366526,0.103804,0.574134
0.259029,110.078896,27,0.81716,Synthetic case for comparing decision rules under uncertainty.,44.022283,239.320341,low,0.221653,0.037376,0.296405
0.593802,138.593558,28,0.790311,Synthetic case for comparing decision rules under uncertainty.,44.372905,150.052663,moderate,0.479101,0.114701,0.708503
0.540055,153.236721,29,0.861746,Synthetic case for comparing decision rules under uncertainty.,36.469098,143.961669,moderate,0.448087,0.091969,0.632024
0.605827,159.925769,30,0.707904,Synthetic case for comparing decision rules under uncertainty.,28.072493,241.493162,moderate,0.422518,0.183309,0.789136
0.606741,178.751569,31,0.879221,Synthetic case for comparing decision rules under uncertainty.,32.992716,214.533771,moderate,0.471895,0.134846,0.741587
0.470614,118.221238,32,0.777172,Synthetic case for comparing decision rules under uncertainty.,49.814282,234.045248,moderate,0.334235,0.136379,0.606993
0.26933,118.819548,33,0.833607,Synthetic case for comparing decision rules under uncertainty.,36.158051,213.368343,low,0.179653,0.089677,0.359007
0.475889,133.154035,34,0.723561,Synthetic case for comparing decision rules under uncertainty.,39.000835,180.03086,moderate,0.323325,0.152565,0.628454
0.580206,115.062896,35,0.798142,Synthetic case for comparing decision rules under uncertainty.,43.810396,282.866208,moderate,0.453001,0.127205,0.707411
0.264623,118.130257,36,0.837714,Synthetic case for comparing decision rules under uncertainty.,21.78203,175.963783,low,0.11271,0.151913,0.416536
0.306939,101.490469,37,0.760373,Synthetic case for comparing decision rules under uncertainty.,31.700943,79.684193,low,0.224499,0.08244,0.389378
