baseline_risk,case_id,confidence_score,downside_exposure,expected_benefit,expected_loss,expected_net_value,governance_burden,interpretation,intervention_cost,max_regret_reference,option_name,post_intervention_risk,regret,risk_reduction
0.380988,1,0.867137,116.206947,0.0,104.819504,-104.819504,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-53.398428,monitor_only,0.380988,51.421076,0.0
0.380988,1,0.867137,98.825985,31.483628,94.337553,-76.956591,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,14.102666,-53.398428,light_touch_support,0.342889,23.558163,0.1
0.380988,1,0.867137,93.741096,48.656516,81.759213,-59.293362,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,26.190665,-53.398428,targeted_intervention,0.297171,5.894934,0.22
0.380988,1,0.867137,100.424503,60.105108,69.180872,-53.398428,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,44.322664,-53.398428,intensive_review,0.251452,0.0,0.34
0.215198,2,0.72818,30.388244,0.0,18.770061,-18.770061,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-17.325873,monitor_only,0.215198,1.444188,0.0
0.215198,2,0.72818,30.821061,14.525304,16.893055,-17.325873,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,14.958122,-17.325873,light_touch_support,0.193678,0.0,0.1
0.215198,2,0.72818,35.719415,22.448198,14.640648,-19.971819,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,27.779369,-17.325873,targeted_intervention,0.167854,2.645946,0.22
0.215198,2,0.72818,49.669357,27.730127,12.38824,-31.669354,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,47.01124,-17.325873,intensive_review,0.142031,14.343481,0.34
0.326961,3,0.768604,86.317128,0.0,64.992331,-64.992331,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-49.367749,monitor_only,0.326961,15.624582,0.0
0.326961,3,0.768604,82.973338,15.668308,58.493098,-55.149307,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.324517,-49.367749,light_touch_support,0.294265,5.781558,0.1
0.326961,3,0.768604,84.99086,24.214658,50.694018,-49.367749,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,22.88839,-49.367749,targeted_intervention,0.25503,0.0,0.22
0.326961,3,0.768604,95.139101,29.912225,42.894938,-51.716911,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,38.734198,-49.367749,intensive_review,0.215794,2.349162,0.34
0.529837,4,0.774008,137.785234,0.0,130.340735,-130.340735,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-58.640572,monitor_only,0.529837,71.700163,0.0
0.529837,4,0.774008,114.580018,36.91653,117.306661,-94.101445,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,13.711313,-58.640572,light_touch_support,0.476853,35.460873,0.1
0.529837,4,0.774008,106.196283,57.052818,101.665773,-70.076822,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,25.463867,-58.640572,targeted_intervention,0.413273,11.43625,0.22
0.529837,4,0.774008,110.400921,70.477011,86.024885,-58.640572,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,43.092698,-58.640572,intensive_review,0.349692,0.0,0.34
0.244891,5,0.784339,45.188365,0.0,34.884793,-34.884793,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-27.063776,monitor_only,0.244891,7.821017,0.0
0.244891,5,0.784339,42.623542,14.812488,31.396314,-28.831491,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.247665,-27.063776,light_touch_support,0.220402,1.767715,0.1
0.244891,5,0.784339,45.042002,22.892027,27.210139,-27.063776,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,22.745664,-27.063776,targeted_intervention,0.191015,0.0,0.22
0.244891,5,0.784339,55.402641,28.278386,23.023964,-33.238239,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,38.492662,-27.063776,intensive_review,0.161628,6.174463,0.34
0.618296,6,0.723331,169.168914,0.0,137.934919,-137.934919,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-36.912835,monitor_only,0.618296,101.022084,0.0
0.618296,6,0.723331,129.543352,57.071808,124.141427,-84.515865,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,17.446246,-36.912835,light_touch_support,0.556466,47.60303,0.1
0.618296,6,0.723331,113.3672,88.201885,107.589237,-51.787523,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,32.400171,-36.912835,targeted_intervention,0.482271,14.874688,0.22
0.618296,6,0.723331,115.044703,108.95527,91.037046,-36.912835,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,54.831059,-36.912835,intensive_review,0.408075,0.0,0.34
0.417131,7,0.650602,81.235749,0.0,62.446004,-62.446004,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-9.417952,monitor_only,0.417131,53.028052,0.0
0.417131,7,0.650602,56.525883,37.173305,56.201404,-31.491537,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.463439,-9.417952,light_touch_support,0.375418,22.073585,0.1
0.417131,7,0.650602,46.932483,57.449653,48.707883,-14.404616,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.146386,-9.417952,targeted_intervention,0.325362,4.986664,0.22
0.417131,7,0.650602,49.439338,70.967219,41.214363,-9.417952,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,39.170808,-9.417952,intensive_review,0.275306,0.0,0.34
0.34229,8,0.700909,82.112005,0.0,57.211376,-57.211376,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-20.967728,monitor_only,0.34229,36.243648,0.0
0.34229,8,0.700909,63.439599,35.356408,51.490238,-32.817833,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,16.684002,-20.967728,light_touch_support,0.308061,11.850105,0.1
0.34229,8,0.700909,58.454859,54.641721,44.624873,-20.967728,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,30.984576,-20.967728,targeted_intervention,0.266986,0.0,0.22
0.34229,8,0.700909,67.048844,67.498597,37.759508,-22.696347,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,52.435436,-20.967728,intensive_review,0.225911,1.728619,0.34
0.573552,9,0.785083,170.095428,0.0,144.823441,-144.823441,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-36.42242,monitor_only,0.573552,108.401021,0.0
0.573552,9,0.785083,130.587026,52.690866,130.341097,-90.832695,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,13.182464,-36.42242,light_touch_support,0.516197,54.410275,0.1
0.573552,9,0.785083,113.145809,81.431338,112.962284,-56.012665,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,24.48172,-36.42242,targeted_intervention,0.447371,19.590245,0.22
0.573552,9,0.785083,110.934377,100.591653,95.583471,-36.42242,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,41.430602,-36.42242,intensive_review,0.378544,0.0,0.34
