baseline_risk,best_expected_net_value,case_id,confidence_score,decision,recommended_option,review_note,threshold_rule
0.380988,-53.398428,1,0.867137,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.215198,-17.325873,2,0.72818,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.326961,-49.367749,3,0.768604,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.529837,-58.640572,4,0.774008,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.244891,-27.063776,5,0.784339,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.618296,-36.912835,6,0.723331,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.417131,-9.417952,7,0.650602,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.34229,-20.967728,8,0.700909,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.573552,-36.42242,9,0.785083,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.135364,-8.931431,10,0.735234,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.428633,-32.942789,11,0.719996,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.533306,-28.046485,12,0.675063,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.373873,-32.293121,13,0.69992,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.373204,-46.808929,14,0.909836,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.298415,-41.33812,15,0.762481,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.833865,-75.735286,16,0.699924,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.301403,-22.408378,17,0.836106,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.175286,-1.620481,18,0.775509,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
