agents,final_clustering_score,final_satisfaction_rate,grid_size,interpretation,seed,steps,tolerance
420,0.638515,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",1,40,0.25
420,0.692809,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",2,40,0.25
420,0.718795,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",3,40,0.25
420,0.651755,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",4,40,0.25
420,0.689084,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",5,40,0.25
420,0.660686,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",6,40,0.25
420,0.729799,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",7,40,0.25
420,0.665493,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",8,40,0.25
420,0.685768,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",9,40,0.25
420,0.691499,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",10,40,0.25
420,0.682015,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",11,40,0.25
420,0.685391,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",12,40,0.25
420,0.695731,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",13,40,0.25
420,0.683685,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",14,40,0.25
420,0.716188,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",15,40,0.25
420,0.872514,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",1,40,0.35
420,0.838861,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",2,40,0.35
420,0.810825,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",3,40,0.35
420,0.808943,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",4,40,0.35
420,0.842917,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",5,40,0.35
420,0.849538,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",6,40,0.35
420,0.887585,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",7,40,0.35
420,0.841185,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",8,40,0.35
420,0.877602,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",9,40,0.35
420,0.831355,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",10,40,0.35
420,0.843158,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",11,40,0.35
420,0.829504,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",12,40,0.35
420,0.828611,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",13,40,0.35
420,0.859816,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",14,40,0.35
420,0.838308,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",15,40,0.35
420,0.933696,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",1,40,0.45
420,0.878041,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",2,40,0.45
420,0.922993,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",3,40,0.45
420,0.896465,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",4,40,0.45
420,0.891576,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",5,40,0.45
420,0.868328,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",6,40,0.45
420,0.884779,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",7,40,0.45
420,0.905278,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",8,40,0.45
420,0.920383,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",9,40,0.45
420,0.8868,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",10,40,0.45
420,0.887897,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",11,40,0.45
420,0.895014,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",12,40,0.45
420,0.904368,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",13,40,0.45
420,0.884552,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",14,40,0.45
420,0.884855,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",15,40,0.45
420,0.960663,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",1,40,0.55
420,0.926658,0.983333,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",2,40,0.55
420,0.934711,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",3,40,0.55
420,0.947772,0.990476,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",4,40,0.55
420,0.94252,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",5,40,0.55
420,0.957868,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",6,40,0.55
420,0.962262,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",7,40,0.55
420,0.940887,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",8,40,0.55
420,0.956003,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",9,40,0.55
420,0.955,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",10,40,0.55
420,0.932622,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",11,40,0.55
420,0.951179,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",12,40,0.55
420,0.932146,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",13,40,0.55
420,0.954223,1.0,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",14,40,0.55
420,0.950261,0.997619,24,"Emergent pattern depends on local rules, stochastic update order, empty space, tolerance, and initial arrangement.",15,40,0.55
