agents,clustering_score,grid_size,interpretation,moves,satisfaction_rate,seed,step,tolerance
420,0.475371,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,0.897619,1,0,0.25
420,0.559235,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,42,0.954762,1,1,0.25
420,0.591919,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,19,0.971429,1,2,0.25
420,0.6189,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,14,0.983333,1,3,0.25
420,0.630675,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,7,0.990476,1,4,0.25
420,0.63381,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,4,0.995238,1,5,0.25
420,0.631383,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,2,0.995238,1,6,0.25
420,0.635357,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,2,0.997619,1,7,0.25
420,0.635669,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,1,0.997619,1,8,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,1,1.0,1,9,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,10,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,11,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,12,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,13,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,14,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,15,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,16,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,17,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,18,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,19,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,20,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,21,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,22,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,23,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,24,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,25,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,26,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,27,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,28,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,29,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,30,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,31,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,32,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,33,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,34,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,35,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,36,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,37,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,38,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,39,0.25
420,0.638515,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,1,40,0.25
420,0.489765,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,0.861905,2,0,0.25
420,0.574218,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,56,0.921429,2,1,0.25
420,0.645309,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,32,0.966667,2,2,0.25
420,0.664226,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,14,0.978571,2,3,0.25
420,0.68284,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,9,0.992857,2,4,0.25
420,0.692217,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,4,0.997619,2,5,0.25
420,0.691196,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,1,0.997619,2,6,0.25
420,0.691494,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,1,0.997619,2,7,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,1,1.0,2,8,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,9,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,10,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,11,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,12,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,13,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,14,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,15,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,16,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,17,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,18,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,19,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,20,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,21,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,22,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,23,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,24,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,25,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,26,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,27,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,28,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,29,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,30,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,31,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,32,0.25
420,0.692809,24,Local satisfaction and movement rules can generate emergent clustering over repeated steps.,0,1.0,2,33,0.25
