experiment,input_a,input_b,input_c,output,seed,trial
uncertainty_propagation,9.750953,4.332509,1.07654,23.625711,2002,1
uncertainty_propagation,8.250803,4.641522,1.23378,18.095465,2002,2
uncertainty_propagation,9.929005,2.801666,1.057964,37.227685,2002,3
uncertainty_propagation,9.949524,4.980752,0.879287,17.475936,2002,4
uncertainty_propagation,10.451669,2.080065,0.842802,44.260855,2002,5
uncertainty_propagation,6.960839,2.524656,1.019517,19.566606,2002,6
uncertainty_propagation,8.799754,3.72268,1.019645,21.209688,2002,7
uncertainty_propagation,11.348011,2.124882,1.067345,64.685846,2002,8
uncertainty_propagation,11.387948,4.956594,1.208872,31.629185,2002,9
uncertainty_propagation,10.126302,4.765839,1.0887,23.424515,2002,10
uncertainty_propagation,12.638006,2.979221,0.977194,52.388375,2002,11
uncertainty_propagation,9.925182,3.153384,1.033883,32.297706,2002,12
uncertainty_propagation,11.202283,3.167926,1.045505,41.415606,2002,13
uncertainty_propagation,10.302224,4.433954,0.900006,21.543488,2002,14
uncertainty_propagation,10.626278,2.143553,1.113597,58.66193,2002,15
uncertainty_propagation,10.6765,4.477785,0.932403,23.735493,2002,16
uncertainty_propagation,10.208485,3.010285,0.979976,33.925815,2002,17
uncertainty_propagation,11.904271,2.657798,0.888746,47.387202,2002,18
uncertainty_propagation,7.267823,2.938356,0.996194,17.908058,2002,19
uncertainty_propagation,9.819401,3.846242,0.809782,20.300262,2002,20
uncertainty_propagation,8.673232,4.222251,1.137676,20.269185,2002,21
uncertainty_propagation,8.673819,2.273661,1.142912,37.818802,2002,22
uncertainty_propagation,12.865241,4.661408,1.040346,36.939969,2002,23
uncertainty_propagation,8.330827,3.015968,1.096404,25.230176,2002,24
uncertainty_propagation,8.456236,3.375316,1.016645,21.538198,2002,25
uncertainty_propagation,10.03595,3.737513,1.149792,30.985142,2002,26
uncertainty_propagation,10.617409,3.420669,1.196734,39.438793,2002,27
uncertainty_propagation,8.718349,3.946539,1.389326,26.758172,2002,28
uncertainty_propagation,11.880853,3.109645,0.988711,44.880088,2002,29
uncertainty_propagation,8.599313,2.698434,0.962052,26.364191,2002,30
uncertainty_propagation,10.858679,4.999928,1.132579,26.709076,2002,31
uncertainty_propagation,8.168085,2.93308,1.024811,23.310961,2002,32
uncertainty_propagation,10.353263,3.179134,1.241499,41.859293,2002,33
uncertainty_propagation,10.829758,4.232398,1.076558,29.832412,2002,34
uncertainty_propagation,9.474824,4.417268,0.966688,19.646034,2002,35
uncertainty_propagation,10.697878,2.005509,0.942557,53.787092,2002,36
uncertainty_propagation,10.258782,2.032062,1.133144,58.686729,2002,37
uncertainty_propagation,8.645857,4.905651,1.223756,18.647226,2002,38
uncertainty_propagation,9.454995,4.163948,1.008972,21.661886,2002,39
uncertainty_propagation,5.560563,3.151939,0.93001,9.123201,2002,40
uncertainty_propagation,9.905896,2.96288,1.215917,40.269603,2002,41
uncertainty_propagation,9.570242,2.624512,1.274194,44.466493,2002,42
uncertainty_propagation,8.58912,3.751513,1.085969,21.355418,2002,43
uncertainty_propagation,8.38952,4.2802,1.198884,19.714569,2002,44
uncertainty_propagation,13.271649,2.917479,1.010479,61.005532,2002,45
uncertainty_propagation,14.126563,4.254501,0.979523,45.945075,2002,46
uncertainty_propagation,11.870594,2.118891,1.254961,83.457719,2002,47
uncertainty_propagation,9.878977,2.48576,1.265475,49.684194,2002,48
uncertainty_propagation,10.805245,4.66425,1.05005,26.284353,2002,49
uncertainty_propagation,5.840962,2.084697,1.191781,19.503935,2002,50
uncertainty_propagation,10.007737,4.219825,1.004258,23.83541,2002,51
uncertainty_propagation,14.085535,4.189807,0.937259,44.382547,2002,52
uncertainty_propagation,7.567982,2.608699,1.183845,25.991496,2002,53
uncertainty_propagation,13.361597,4.429427,1.179624,47.54587,2002,54
uncertainty_propagation,11.128233,3.960904,1.348751,42.168687,2002,55
uncertainty_propagation,10.026045,4.457934,1.205604,27.185071,2002,56
uncertainty_propagation,9.079114,2.543816,0.86331,27.974883,2002,57
uncertainty_propagation,6.518362,2.505511,0.816917,13.853477,2002,58
uncertainty_propagation,8.953854,4.919441,1.06191,17.30581,2002,59
uncertainty_propagation,10.258674,2.26686,0.89886,41.730158,2002,60
uncertainty_propagation,12.517742,3.11077,1.212911,61.096023,2002,61
uncertainty_propagation,10.242909,3.174996,1.108686,36.636343,2002,62
uncertainty_propagation,10.697569,2.444827,1.102919,51.625661,2002,63
uncertainty_propagation,9.619431,3.912001,1.146641,27.122343,2002,64
uncertainty_propagation,8.67043,3.065371,0.940502,23.065247,2002,65
uncertainty_propagation,11.076721,3.691908,0.988162,32.839733,2002,66
uncertainty_propagation,12.789107,3.245981,0.881441,44.414783,2002,67
uncertainty_propagation,11.068767,2.372413,1.326362,68.496792,2002,68
uncertainty_propagation,8.609371,3.756958,0.998294,19.695413,2002,69
uncertainty_propagation,10.490858,4.234183,0.926511,24.082575,2002,70
uncertainty_propagation,8.999612,2.582568,1.017378,31.906418,2002,71
uncertainty_propagation,12.254349,2.126139,0.939664,66.368414,2002,72
uncertainty_propagation,8.547168,4.557729,0.931492,14.930528,2002,73
uncertainty_propagation,11.648668,2.134514,1.092119,69.426252,2002,74
uncertainty_propagation,6.524241,3.044563,1.064192,14.878363,2002,75
uncertainty_propagation,9.788529,3.126868,1.151515,35.285368,2002,76
uncertainty_propagation,9.042497,2.143501,1.041902,39.744773,2002,77
uncertainty_propagation,9.878762,3.544089,1.037238,28.561365,2002,78
uncertainty_propagation,11.080048,2.649794,0.998717,46.271498,2002,79
uncertainty_propagation,8.828241,3.128144,0.915278,22.804182,2002,80
uncertainty_propagation,10.785071,4.813177,0.907888,21.940506,2002,81
uncertainty_propagation,10.193583,2.461198,1.200668,50.690901,2002,82
uncertainty_propagation,10.594621,3.909148,1.233999,35.432652,2002,83
uncertainty_propagation,8.781043,2.670104,0.971256,28.047731,2002,84
uncertainty_propagation,10.967125,2.035623,0.974248,57.564869,2002,85
uncertainty_propagation,10.768891,3.328124,1.050741,36.613228,2002,86
uncertainty_propagation,11.506891,4.743698,1.141855,31.872036,2002,87
uncertainty_propagation,8.992904,3.012748,0.893103,23.973885,2002,88
uncertainty_propagation,13.537302,3.489157,0.975636,51.242642,2002,89
uncertainty_propagation,10.265315,3.220257,1.042162,34.102741,2002,90
uncertainty_propagation,7.124988,3.072157,1.220931,20.175118,2002,91
uncertainty_propagation,10.906576,3.454738,0.841804,28.984951,2002,92
uncertainty_propagation,11.927133,2.782461,1.114576,56.983986,2002,93
uncertainty_propagation,8.726136,4.496911,1.137722,19.264863,2002,94
uncertainty_propagation,10.567104,3.137744,0.964951,34.339958,2002,95
uncertainty_propagation,8.101452,3.922675,1.090763,18.250453,2002,96
uncertainty_propagation,11.083805,2.969968,1.094606,45.277647,2002,97
uncertainty_propagation,12.649052,3.213602,1.268011,63.131601,2002,98
uncertainty_propagation,9.663509,4.489093,1.033121,21.49127,2002,99
uncertainty_propagation,12.854812,3.694687,1.002893,44.85477,2002,100
uncertainty_propagation,6.977185,3.167681,1.061875,16.318964,2002,101
uncertainty_propagation,8.365465,3.558214,1.150229,22.622064,2002,102
uncertainty_propagation,7.479664,4.797922,1.079603,12.588531,2002,103
uncertainty_propagation,12.015334,3.230993,1.223768,54.680787,2002,104
uncertainty_propagation,8.712404,4.339971,1.041265,18.2117,2002,105
uncertainty_propagation,9.157859,4.832495,1.047717,18.182783,2002,106
uncertainty_propagation,9.705506,3.110876,0.980964,29.703436,2002,107
uncertainty_propagation,11.914413,3.364875,0.988061,41.683108,2002,108
uncertainty_propagation,12.780127,3.514125,1.216062,56.520892,2002,109
uncertainty_propagation,11.264364,3.549863,1.131587,40.44732,2002,110
uncertainty_propagation,7.721309,3.696304,1.220344,19.683232,2002,111
uncertainty_propagation,10.783385,2.30091,1.033156,52.212764,2002,112
uncertainty_propagation,7.626111,4.511973,1.21734,15.691038,2002,113
uncertainty_propagation,7.646299,4.583536,0.997345,12.721772,2002,114
uncertainty_propagation,10.434176,4.946912,1.156325,25.448499,2002,115
uncertainty_propagation,11.57051,4.426266,1.242494,37.580446,2002,116
uncertainty_propagation,9.856773,2.648445,0.913419,33.508011,2002,117
uncertainty_propagation,9.446422,4.392088,1.148165,23.327479,2002,118
uncertainty_propagation,9.20536,4.696814,1.066011,19.232685,2002,119
uncertainty_propagation,8.466886,3.967524,0.902777,16.312041,2002,120
uncertainty_propagation,10.284738,4.008787,0.945448,24.946581,2002,121
uncertainty_propagation,8.118038,3.659341,1.120009,20.170699,2002,122
uncertainty_propagation,13.710228,2.42223,1.014788,78.749789,2002,123
uncertainty_propagation,10.530897,4.270503,1.206438,31.329723,2002,124
uncertainty_propagation,10.536671,2.987975,1.058568,39.332227,2002,125
uncertainty_propagation,7.857593,2.901993,0.867491,18.456438,2002,126
uncertainty_propagation,11.440651,2.348423,1.145036,63.818151,2002,127
uncertainty_propagation,11.368417,2.551006,1.171206,59.336472,2002,128
uncertainty_propagation,9.667187,2.341697,0.954169,38.079804,2002,129
uncertainty_propagation,9.003865,4.981328,1.172357,19.079751,2002,130
uncertainty_propagation,8.826465,3.294629,1.209601,28.602841,2002,131
uncertainty_propagation,7.81911,4.102059,1.18796,17.705758,2002,132
uncertainty_propagation,10.94741,4.985461,1.190343,28.614723,2002,133
uncertainty_propagation,10.550935,3.21272,1.101239,38.158457,2002,134
uncertainty_propagation,10.014112,3.796443,0.892474,23.574565,2002,135
uncertainty_propagation,8.785275,3.588148,1.175043,25.275177,2002,136
uncertainty_propagation,8.153156,4.292142,1.087319,16.839705,2002,137
uncertainty_propagation,10.782454,2.313635,1.1012,55.335863,2002,138
uncertainty_propagation,12.806308,3.356345,0.946298,46.239069,2002,139
uncertainty_propagation,8.371933,3.285083,1.027573,21.923907,2002,140
uncertainty_propagation,10.349196,3.620704,1.109826,32.830322,2002,141
uncertainty_propagation,10.469837,2.604947,1.076144,45.284689,2002,142
uncertainty_propagation,10.083751,3.865966,0.941746,24.769658,2002,143
uncertainty_propagation,9.714307,2.659356,1.045063,37.084257,2002,144
uncertainty_propagation,7.481751,3.029404,1.06554,19.688785,2002,145
uncertainty_propagation,9.8419,2.05838,0.913201,42.973288,2002,146
uncertainty_propagation,10.836241,4.94773,1.002866,23.80094,2002,147
uncertainty_propagation,10.855956,2.164836,1.273825,69.345918,2002,148
uncertainty_propagation,9.2796,3.605843,1.10167,26.308932,2002,149
uncertainty_propagation,11.359847,2.349146,1.320554,72.542248,2002,150
uncertainty_propagation,10.154545,3.050953,0.955442,32.291602,2002,151
uncertainty_propagation,8.970915,4.961621,1.017245,16.49967,2002,152
uncertainty_propagation,7.609347,2.307583,1.135974,28.503993,2002,153
uncertainty_propagation,6.183577,3.335142,0.970552,11.127149,2002,154
uncertainty_propagation,8.233534,3.620443,0.882121,16.517311,2002,155
uncertainty_propagation,10.033141,4.841773,1.104694,22.967374,2002,156
uncertainty_propagation,10.693536,3.415363,1.122898,37.596397,2002,157
uncertainty_propagation,10.257028,4.465116,0.979289,23.07391,2002,158
uncertainty_propagation,8.573731,3.185244,1.166547,26.921497,2002,159
uncertainty_propagation,10.069205,3.621732,0.938854,26.282835,2002,160
uncertainty_propagation,10.7776,2.416882,1.269264,61.001535,2002,161
uncertainty_propagation,7.947283,3.557599,1.035634,18.385969,2002,162
uncertainty_propagation,12.061375,3.126652,1.127676,52.468463,2002,163
uncertainty_propagation,8.842519,4.134544,1.245145,23.547478,2002,164
uncertainty_propagation,13.726983,2.49672,0.926165,69.898615,2002,165
uncertainty_propagation,10.153522,2.341094,1.037415,45.684295,2002,166
uncertainty_propagation,11.187149,2.76394,1.330051,60.225241,2002,167
uncertainty_propagation,9.990467,2.548547,1.121449,43.91959,2002,168
uncertainty_propagation,8.169766,2.970268,1.030366,23.153423,2002,169
uncertainty_propagation,9.857709,3.659041,1.14262,30.344972,2002,170
uncertainty_propagation,8.948198,4.659789,1.010602,17.365409,2002,171
uncertainty_propagation,9.317897,2.207998,1.007558,39.619322,2002,172
uncertainty_propagation,10.206473,3.997667,0.981258,25.569833,2002,173
uncertainty_propagation,9.714587,3.816262,0.923708,22.84257,2002,174
uncertainty_propagation,10.736284,2.774701,1.005613,41.77558,2002,175
uncertainty_propagation,9.067835,2.905663,1.141275,32.296264,2002,176
uncertainty_propagation,9.907837,4.155367,0.911721,21.538258,2002,177
uncertainty_propagation,11.892161,4.931986,1.198763,34.374238,2002,178
uncertainty_propagation,8.678378,4.897978,0.949854,14.605519,2002,179
uncertainty_propagation,9.142594,4.855574,1.160019,19.969316,2002,180
uncertainty_propagation,13.350081,2.530324,1.128891,79.514002,2002,181
uncertainty_propagation,8.635889,2.363458,0.97083,30.634418,2002,182
uncertainty_propagation,11.175675,4.76688,1.006556,26.372505,2002,183
uncertainty_propagation,10.532262,3.006978,0.94445,34.841126,2002,184
uncertainty_propagation,11.236138,3.442153,0.966736,35.457797,2002,185
uncertainty_propagation,11.243681,4.055986,1.301821,40.57625,2002,186
uncertainty_propagation,10.961945,4.658619,0.861825,22.229869,2002,187
uncertainty_propagation,12.818653,2.659266,1.06709,65.936213,2002,188
uncertainty_propagation,7.553821,4.998645,1.041525,11.889148,2002,189
uncertainty_propagation,9.802492,3.066288,1.047361,32.821334,2002,190
uncertainty_propagation,8.980712,3.520037,0.980158,22.457963,2002,191
uncertainty_propagation,10.477768,3.358125,0.987726,32.290664,2002,192
uncertainty_propagation,8.790574,4.047394,1.091845,20.845875,2002,193
uncertainty_propagation,9.480322,3.925071,0.986548,22.590023,2002,194
uncertainty_propagation,10.005179,3.085577,1.224478,39.725047,2002,195
uncertainty_propagation,9.406349,2.771653,1.080682,34.498571,2002,196
uncertainty_propagation,11.12245,4.966666,1.022848,25.476928,2002,197
uncertainty_propagation,8.44323,2.561815,0.923051,25.685936,2002,198
uncertainty_propagation,12.061015,2.177151,0.985121,65.821638,2002,199
uncertainty_propagation,9.980897,3.80374,1.1705,30.654879,2002,200
uncertainty_propagation,11.429652,4.993614,1.239657,32.430435,2002,201
uncertainty_propagation,11.704591,4.861089,1.078998,30.408815,2002,202
uncertainty_propagation,11.092818,4.154294,0.96465,28.573024,2002,203
uncertainty_propagation,8.261874,3.68517,1.00519,18.618621,2002,204
uncertainty_propagation,9.725281,3.744121,1.008969,25.48779,2002,205
uncertainty_propagation,11.000629,4.008118,0.957526,28.909795,2002,206
uncertainty_propagation,10.74574,2.429653,0.930063,44.201855,2002,207
uncertainty_propagation,11.034793,4.755483,0.972482,24.900916,2002,208
uncertainty_propagation,8.832658,3.09323,1.036972,26.153968,2002,209
uncertainty_propagation,8.61035,4.786357,1.011242,15.66361,2002,210
uncertainty_propagation,10.880883,3.933156,0.915655,27.562531,2002,211
uncertainty_propagation,10.616605,4.662908,0.846535,20.462521,2002,212
uncertainty_propagation,9.10473,2.977806,1.269987,35.353881,2002,213
uncertainty_propagation,7.927466,3.055379,1.211493,24.91866,2002,214
uncertainty_propagation,9.842909,2.792934,1.017419,35.292816,2002,215
uncertainty_propagation,8.43945,2.613498,1.183286,32.247483,2002,216
uncertainty_propagation,11.894423,3.864513,0.968873,35.469806,2002,217
uncertainty_propagation,9.682488,2.980088,1.028661,32.360643,2002,218
uncertainty_propagation,10.55519,2.069065,1.052889,56.694449,2002,219
uncertainty_propagation,9.858276,3.421574,1.043031,29.626005,2002,220
uncertainty_propagation,8.538791,2.772461,1.217709,32.023666,2002,221
uncertainty_propagation,12.924605,3.993634,1.101269,46.063815,2002,222
uncertainty_propagation,8.259206,2.719941,1.212481,30.408285,2002,223
uncertainty_propagation,13.932995,4.544097,1.028287,43.929448,2002,224
uncertainty_propagation,10.210782,4.654249,0.980351,21.960899,2002,225
uncertainty_propagation,11.083037,4.059739,1.076244,32.56345,2002,226
uncertainty_propagation,11.150608,3.987686,1.0056,31.354608,2002,227
uncertainty_propagation,10.677148,2.880811,1.08758,43.038484,2002,228
uncertainty_propagation,9.474252,3.667466,0.866575,21.209479,2002,229
uncertainty_propagation,10.398097,3.451475,1.020467,31.96701,2002,230
uncertainty_propagation,9.018282,2.602103,1.006448,31.456798,2002,231
uncertainty_propagation,10.686238,3.883105,1.08008,31.76337,2002,232
uncertainty_propagation,6.297606,3.331163,1.068361,12.719585,2002,233
uncertainty_propagation,11.231616,3.042889,1.309954,54.30683,2002,234
uncertainty_propagation,10.675349,3.511281,1.084398,35.195522,2002,235
uncertainty_propagation,10.039289,2.085492,1.016666,49.133278,2002,236
uncertainty_propagation,8.269024,2.479658,1.033203,28.49064,2002,237
uncertainty_propagation,12.941865,2.838925,1.060246,62.552722,2002,238
uncertainty_propagation,8.772816,3.429888,1.009646,22.655179,2002,239
uncertainty_propagation,8.70447,2.508949,1.227099,37.057186,2002,240
uncertainty_propagation,8.354702,4.769532,1.246032,18.235405,2002,241
uncertainty_propagation,13.442847,2.577788,0.872637,61.17431,2002,242
uncertainty_propagation,10.802472,4.50346,1.281354,33.202369,2002,243
uncertainty_propagation,9.476334,2.677254,1.208732,40.54348,2002,244
uncertainty_propagation,9.25336,2.740563,0.935537,29.229402,2002,245
uncertainty_propagation,9.701127,2.141827,0.958056,42.096977,2002,246
uncertainty_propagation,12.031716,3.437457,0.947757,39.913049,2002,247
uncertainty_propagation,9.501167,4.039285,1.09245,24.414684,2002,248
uncertainty_propagation,5.905471,4.447536,1.32357,10.378548,2002,249
uncertainty_propagation,9.215784,4.661346,1.257645,22.914554,2002,250
uncertainty_propagation,10.089162,4.814623,1.191717,25.19538,2002,251
uncertainty_propagation,9.981273,4.237619,0.994927,23.390582,2002,252
uncertainty_propagation,9.095225,4.646702,1.137381,20.248272,2002,253
uncertainty_propagation,11.52734,2.689827,1.12834,55.740884,2002,254
uncertainty_propagation,11.585642,3.324284,1.043485,42.133586,2002,255
uncertainty_propagation,9.933109,2.670726,1.018013,37.60921,2002,256
uncertainty_propagation,8.663869,2.620305,1.135862,32.538508,2002,257
uncertainty_propagation,12.127135,4.37191,1.343606,45.197782,2002,258
uncertainty_propagation,9.563293,3.243762,1.096921,30.927245,2002,259
uncertainty_propagation,9.290128,3.31604,1.116075,29.048059,2002,260
uncertainty_propagation,9.719685,3.518743,1.206131,32.382579,2002,261
uncertainty_propagation,11.539153,2.078737,1.015213,65.028745,2002,262
uncertainty_propagation,12.208257,2.515157,1.215352,72.018536,2002,263
uncertainty_propagation,11.304806,4.039167,1.036699,32.801,2002,264
uncertainty_propagation,9.436683,2.541425,1.251969,43.868731,2002,265
uncertainty_propagation,10.093757,2.255244,1.064465,48.088764,2002,266
uncertainty_propagation,10.229371,4.114546,1.126232,28.642039,2002,267
uncertainty_propagation,10.815715,3.308466,0.888077,31.400359,2002,268
uncertainty_propagation,10.610986,3.662109,1.161066,35.697452,2002,269
uncertainty_propagation,6.951028,3.885088,1.011926,12.584794,2002,270
uncertainty_propagation,11.145092,3.885956,1.182553,37.799829,2002,271
uncertainty_propagation,11.511221,4.644562,0.92799,26.475328,2002,272
uncertainty_propagation,9.5774,4.78103,1.221792,23.440717,2002,273
uncertainty_propagation,13.382235,4.737499,1.088109,41.132081,2002,274
uncertainty_propagation,7.547493,2.652246,1.152016,24.74288,2002,275
uncertainty_propagation,11.150554,3.964764,1.066293,33.438913,2002,276
uncertainty_propagation,9.905176,2.244019,0.931023,40.705983,2002,277
uncertainty_propagation,10.2945,2.604147,0.871189,35.453349,2002,278
uncertainty_propagation,8.859458,3.361937,1.089448,25.434973,2002,279
uncertainty_propagation,9.072251,2.315496,1.21471,43.177631,2002,280
uncertainty_propagation,8.522935,3.130024,1.001691,23.246869,2002,281
uncertainty_propagation,9.375932,3.298977,1.263012,33.655586,2002,282
uncertainty_propagation,8.682004,4.124956,1.023848,18.709237,2002,283
uncertainty_propagation,8.536558,4.463239,0.897179,14.648547,2002,284
uncertainty_propagation,9.614215,3.651209,0.888604,22.495687,2002,285
uncertainty_propagation,9.961662,4.173539,1.129716,26.861395,2002,286
uncertainty_propagation,10.419801,2.879411,1.049844,39.585844,2002,287
uncertainty_propagation,9.653707,2.511568,1.09712,40.709655,2002,288
