algorithm,comparisons,interpretation,is_sorted,n,run_id,seed
randomized_quicksort,644,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,1,52027
randomized_quicksort,623,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,2,52028
randomized_quicksort,578,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,3,52029
randomized_quicksort,594,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,4,52030
randomized_quicksort,707,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,5,52031
randomized_quicksort,577,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,6,52032
randomized_quicksort,622,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,7,52033
randomized_quicksort,740,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,8,52034
randomized_quicksort,632,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,9,52035
randomized_quicksort,676,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,10,52036
randomized_quicksort,564,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,11,52037
randomized_quicksort,643,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,12,52038
randomized_quicksort,641,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,13,52039
randomized_quicksort,594,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,14,52040
randomized_quicksort,614,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,15,52041
randomized_quicksort,619,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,16,52042
randomized_quicksort,791,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,17,52043
randomized_quicksort,601,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,18,52044
randomized_quicksort,585,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,19,52045
randomized_quicksort,650,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,20,52046
randomized_quicksort,627,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,21,52047
randomized_quicksort,591,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,22,52048
randomized_quicksort,672,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,23,52049
randomized_quicksort,570,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,24,52050
randomized_quicksort,575,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,25,52051
randomized_quicksort,661,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,26,52052
randomized_quicksort,633,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,27,52053
randomized_quicksort,652,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,28,52054
randomized_quicksort,607,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,29,52055
randomized_quicksort,627,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,30,52056
randomized_quicksort,560,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,31,52057
randomized_quicksort,667,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,32,52058
randomized_quicksort,728,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,33,52059
randomized_quicksort,590,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,34,52060
randomized_quicksort,563,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,35,52061
randomized_quicksort,657,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,36,52062
randomized_quicksort,621,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,37,52063
randomized_quicksort,726,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,38,52064
randomized_quicksort,603,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,39,52065
randomized_quicksort,667,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,40,52066
randomized_quicksort,569,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,41,52067
randomized_quicksort,643,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,42,52068
randomized_quicksort,663,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,43,52069
randomized_quicksort,632,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,44,52070
randomized_quicksort,727,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,45,52071
randomized_quicksort,608,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,46,52072
randomized_quicksort,721,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,47,52073
randomized_quicksort,594,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,48,52074
randomized_quicksort,690,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,49,52075
randomized_quicksort,616,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,50,52076
randomized_quicksort,646,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,51,52077
randomized_quicksort,608,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,52,52078
randomized_quicksort,702,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,53,52079
randomized_quicksort,661,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,54,52080
randomized_quicksort,586,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,55,52081
randomized_quicksort,550,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,56,52082
randomized_quicksort,570,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,57,52083
randomized_quicksort,717,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,58,52084
randomized_quicksort,626,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,59,52085
randomized_quicksort,694,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,60,52086
randomized_quicksort,720,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,61,52087
randomized_quicksort,664,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,62,52088
randomized_quicksort,701,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,63,52089
randomized_quicksort,722,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,64,52090
randomized_quicksort,699,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,65,52091
randomized_quicksort,621,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,66,52092
randomized_quicksort,709,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,67,52093
randomized_quicksort,622,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,68,52094
randomized_quicksort,726,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,69,52095
randomized_quicksort,639,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,70,52096
randomized_quicksort,619,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,71,52097
randomized_quicksort,639,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,72,52098
randomized_quicksort,617,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,73,52099
randomized_quicksort,674,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,74,52100
randomized_quicksort,591,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,75,52101
randomized_quicksort,640,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,76,52102
randomized_quicksort,581,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,77,52103
randomized_quicksort,612,Randomized pivot choice changes comparison count while preserving sorted correctness.,1,100,78,52104
