absolute_error,batch,decision,estimate,experiment_name,interpretation,interval_lower,interval_upper,sample_size,seed,standard_error,threshold,true_probability
0.09,1,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27027,0.09992,0.6,0.57
0.01,2,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27028,0.099277,0.6,0.57
0.13,3,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27029,0.099277,0.6,0.57
0.15,4,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.543992,0.896008,25,27030,0.0898,0.6,0.57
0.01,5,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27031,0.099277,0.6,0.57
0.03,6,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27032,0.09798,0.6,0.57
0.19,7,1,0.76,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.592583,0.927417,25,27033,0.085417,0.6,0.57
0.03,8,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27034,0.09798,0.6,0.57
0.03,9,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27035,0.09798,0.6,0.57
0.05,10,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27036,0.09992,0.6,0.57
0.11,11,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27037,0.093295,0.6,0.57
0.03,12,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27038,0.09798,0.6,0.57
0.01,13,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27039,0.099277,0.6,0.57
