case_name                     type_quality
----------------------------  ------------
Typed article metadata        88.72       
Scientific measurement model  88.4        
AI decision-support workflow  88.04       
API contract boundary         87.12       
type_concept     category            definition                                                example                               
---------------  ------------------  --------------------------------------------------------  --------------------------------------
enum             finite alternative  A fixed set of named values                               PublicationStatus                     
generic type     abstraction         A reusable type parameterized by another type             List Article                          
option type      missingness         A value that may be present or absent                     Option Reviewer                       
phantom type     state discipline    A marker type distinguishing states without runtime data  RawRecord vs ValidatedRecord          
primitive type   basic value         A basic value category                                    Integer                               
product type     composite type      A type containing multiple fields                         ArticleRecord                         
refinement type  constraint          A type plus a predicate                                   Probability 0 to 1                    
result type      error modeling      A computation that succeeds or fails                      Result ValidatedRecord ValidationError
schema           boundary contract   A type-like structure for external data                   JSON Schema                           
sum type         composite type      A type representing one of several alternatives           Result                                
