above_threshold,baseline,experiment_name,outcome,scenario,seed,threshold,treatment,unit_id
0,44.255328,reproducible_scenario_experiment,42.327809,baseline,101,60.0,0,1
0,59.964538,reproducible_scenario_experiment,56.869632,baseline,101,60.0,0,2
0,51.565177,reproducible_scenario_experiment,57.708128,baseline,101,60.0,1,3
0,47.554377,reproducible_scenario_experiment,43.676779,baseline,101,60.0,0,4
0,55.924158,reproducible_scenario_experiment,59.606484,baseline,101,60.0,1,5
0,51.19116,reproducible_scenario_experiment,47.5027,baseline,101,60.0,1,6
0,43.451267,reproducible_scenario_experiment,53.041206,baseline,101,60.0,1,7
1,52.749144,reproducible_scenario_experiment,60.894973,baseline,101,60.0,1,8
1,64.288408,reproducible_scenario_experiment,71.453457,baseline,101,60.0,0,9
0,39.443381,reproducible_scenario_experiment,30.765231,baseline,101,60.0,1,10
0,42.388143,reproducible_scenario_experiment,48.716087,baseline,101,60.0,1,11
0,49.442338,reproducible_scenario_experiment,50.843239,baseline,101,60.0,1,12
0,41.015142,reproducible_scenario_experiment,41.807158,baseline,101,60.0,1,13
0,49.612304,reproducible_scenario_experiment,48.819159,baseline,101,60.0,0,14
0,51.513697,reproducible_scenario_experiment,54.821037,baseline,101,60.0,1,15
0,55.236068,reproducible_scenario_experiment,56.612932,baseline,101,60.0,0,16
0,48.708197,reproducible_scenario_experiment,43.064985,baseline,101,60.0,0,17
0,38.395279,reproducible_scenario_experiment,39.492069,baseline,101,60.0,0,18
0,42.411512,reproducible_scenario_experiment,53.643609,baseline,101,60.0,0,19
0,49.556498,reproducible_scenario_experiment,50.957579,baseline,101,60.0,1,20
1,59.026342,reproducible_scenario_experiment,60.129919,baseline,101,60.0,0,21
0,63.564376,reproducible_scenario_experiment,57.497746,baseline,101,60.0,1,22
0,45.260428,reproducible_scenario_experiment,35.303235,baseline,101,60.0,0,23
0,51.442154,reproducible_scenario_experiment,50.258294,baseline,101,60.0,1,24
0,54.326136,reproducible_scenario_experiment,44.851984,baseline,101,60.0,0,25
0,30.183595,reproducible_scenario_experiment,36.340033,baseline,101,60.0,1,26
1,70.026886,reproducible_scenario_experiment,68.70907,baseline,101,60.0,1,27
1,61.492527,reproducible_scenario_experiment,64.608723,baseline,101,60.0,0,28
