bias,learning_rate,loss,step,weight
0.0,0.08,9.429086,0,0.0
0.238808,0.08,5.920193,1,0.507022
0.439408,0.08,3.740603,2,0.900333
0.607911,0.08,2.380975,3,1.205434
0.749454,0.08,1.528907,4,1.442109
0.868349,0.08,0.992248,5,1.625705
0.968222,0.08,0.65243,6,1.768124
1.052115,0.08,0.436032,7,1.878603
1.122585,0.08,0.297409,8,1.964304
1.18178,0.08,0.208061,9,2.030785
1.231504,0.08,0.150112,10,2.082356
1.273272,0.08,0.112288,11,2.122361
1.308357,0.08,0.087444,12,2.153394
1.337828,0.08,0.071024,13,2.177467
1.362584,0.08,0.060106,14,2.196141
1.383379,0.08,0.052804,15,2.210627
1.400847,0.08,0.047893,16,2.221864
1.41552,0.08,0.044574,17,2.230581
1.427845,0.08,0.04232,18,2.237343
1.438198,0.08,0.040782,19,2.242588
1.446895,0.08,0.039728,20,2.246657
1.4542,0.08,0.039004,21,2.249814
1.460337,0.08,0.038504,22,2.252262
1.465491,0.08,0.038159,23,2.254162
1.469821,0.08,0.037919,24,2.255635
1.473458,0.08,0.037752,25,2.256778
1.476513,0.08,0.037636,26,2.257665
1.47908,0.08,0.037555,27,2.258353
1.481235,0.08,0.037499,28,2.258886
1.483046,0.08,0.037459,29,2.2593
1.484567,0.08,0.037431,30,2.259621
1.485845,0.08,0.037412,31,2.25987
1.486918,0.08,0.037398,32,2.260063
1.48782,0.08,0.037388,33,2.260213
1.488577,0.08,0.037382,34,2.260329
1.489213,0.08,0.037377,35,2.26042
1.489748,0.08,0.037374,36,2.26049
1.490196,0.08,0.037371,37,2.260544
1.490574,0.08,0.03737,38,2.260586
1.49089,0.08,0.037368,39,2.260619
1.491156,0.08,0.037368,40,2.260644
1.49138,0.08,0.037367,41,2.260664
1.491567,0.08,0.037367,42,2.260679
1.491725,0.08,0.037366,43,2.260691
1.491858,0.08,0.037366,44,2.2607
1.491969,0.08,0.037366,45,2.260707
1.492062,0.08,0.037366,46,2.260712
1.492141,0.08,0.037366,47,2.260717
1.492207,0.08,0.037366,48,2.26072
1.492262,0.08,0.037366,49,2.260723
1.492309,0.08,0.037366,50,2.260725
1.492348,0.08,0.037366,51,2.260726
1.492381,0.08,0.037366,52,2.260727
1.492408,0.08,0.037366,53,2.260728
1.492431,0.08,0.037366,54,2.260729
1.492451,0.08,0.037366,55,2.26073
1.492467,0.08,0.037366,56,2.26073
1.492481,0.08,0.037366,57,2.26073
1.492492,0.08,0.037366,58,2.260731
1.492502,0.08,0.037366,59,2.260731
1.49251,0.08,0.037366,60,2.260731
1.492517,0.08,0.037366,61,2.260731
1.492523,0.08,0.037366,62,2.260731
1.492528,0.08,0.037366,63,2.260731
1.492532,0.08,0.037366,64,2.260731
1.492535,0.08,0.037366,65,2.260731
1.492538,0.08,0.037366,66,2.260731
1.49254,0.08,0.037366,67,2.260731
1.492542,0.08,0.037366,68,2.260731
1.492544,0.08,0.037366,69,2.260731
1.492545,0.08,0.037366,70,2.260731
1.492547,0.08,0.037366,71,2.260731
1.492548,0.08,0.037366,72,2.260731
1.492549,0.08,0.037366,73,2.260731
1.492549,0.08,0.037366,74,2.260731
1.49255,0.08,0.037366,75,2.260731
1.49255,0.08,0.037366,76,2.260731
1.492551,0.08,0.037366,77,2.260731
1.492551,0.08,0.037366,78,2.260731
1.492551,0.08,0.037366,79,2.260731
1.492552,0.08,0.037366,80,2.260731
