case_id,counterfactual_score,counterfactual_value,delta,interpretation,original_score,original_value,recommended_feature,recourse_cost
7,0.620772,0.679871,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.562872,0.479871,document_quality,0.15
11,0.628738,0.84443,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.526676,0.49443,document_quality,0.2625
21,0.635379,0.753407,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.511964,0.403407,baseline_score,0.49
26,0.629483,0.994438,0.3,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.542398,0.694438,document_quality,0.225
30,0.624172,0.778878,0.15,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.581101,0.628878,document_quality,0.1125
35,0.620388,0.451648,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.591748,0.351648,document_quality,0.075
39,0.624731,0.815208,0.15,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.581681,0.665208,document_quality,0.1125
40,0.621499,0.759475,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.503978,0.359475,document_quality,0.3
46,0.624951,0.319919,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.610786,0.269919,document_quality,0.0375
54,0.621953,0.538231,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.593353,0.438231,document_quality,0.075
58,0.622767,0.733049,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.480338,0.333049,baseline_score,0.56
60,0.630681,0.520308,0.15,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.587863,0.370308,document_quality,0.1125
65,0.623638,0.824833,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.481264,0.424833,baseline_score,0.56
73,0.630961,0.675485,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.602607,0.575485,document_quality,0.075
77,0.620365,0.748042,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.47779,0.348042,baseline_score,0.56
86,0.633846,0.830752,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.517181,0.430752,document_quality,0.3
