allowed_for_recourse,case_id,counterfactual_decision,counterfactual_feature,counterfactual_score,counterfactual_value,delta,feasibility_note,flipped_to_favorable,original_decision,original_score,original_value,recourse_cost,score_change
True,1,unfavorable,baseline_score,0.388836,0.094047,0.05,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.07,0.017084
True,1,unfavorable,baseline_score,0.406197,0.144047,0.1,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.14,0.034445
True,1,unfavorable,baseline_score,0.423796,0.194047,0.15,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.21,0.052044
True,1,unfavorable,baseline_score,0.441591,0.244047,0.2,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.28,0.069839
True,1,unfavorable,baseline_score,0.459536,0.294047,0.25,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.35,0.087784
True,1,unfavorable,baseline_score,0.477588,0.344047,0.3,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.42,0.105836
True,1,unfavorable,baseline_score,0.495698,0.394047,0.35,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.49,0.123946
True,1,unfavorable,baseline_score,0.513819,0.444047,0.4,Can improve through documented qualifying activity but may take time.,False,unfavorable,0.371752,0.044047,0.56,0.142067
True,1,unfavorable,document_quality,0.385869,0.427914,0.05,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.0375,0.014117
True,1,unfavorable,document_quality,0.400181,0.477914,0.1,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.075,0.028429
True,1,unfavorable,document_quality,0.414666,0.527914,0.15,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.1125,0.042914
True,1,unfavorable,document_quality,0.4293,0.577914,0.2,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.15,0.057548
True,1,unfavorable,document_quality,0.444058,0.627914,0.25,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.1875,0.072306
True,1,unfavorable,document_quality,0.458916,0.677914,0.3,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.225,0.087164
True,1,unfavorable,document_quality,0.473847,0.727914,0.35,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.2625,0.102095
True,1,unfavorable,document_quality,0.488825,0.777914,0.4,Can often improve through corrected or complete documentation.,False,unfavorable,0.371752,0.377914,0.3,0.117073
True,1,unfavorable,timeliness,0.381141,0.603624,0.05,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.055,0.009389
True,1,unfavorable,timeliness,0.390619,0.653624,0.1,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.11,0.018867
True,1,unfavorable,timeliness,0.400181,0.703624,0.15,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.165,0.028429
True,1,unfavorable,timeliness,0.40982,0.753624,0.2,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.22,0.038068
True,1,unfavorable,timeliness,0.419529,0.803624,0.25,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.275,0.047777
True,1,unfavorable,timeliness,0.4293,0.853624,0.3,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.33,0.057548
True,1,unfavorable,timeliness,0.439126,0.903624,0.35,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.385,0.067374
True,1,unfavorable,timeliness,0.449001,0.953624,0.4,Can improve in future cycles but may be constrained by access.,False,unfavorable,0.371752,0.553624,0.44,0.077249
False,1,unfavorable,prior_flag,0.365352,0.05,0.05,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,4.95,-0.0064
False,1,unfavorable,prior_flag,0.359,0.1,0.1,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,9.9,-0.012752
False,1,unfavorable,prior_flag,0.352696,0.15,0.15,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,14.85,-0.019056
False,1,unfavorable,prior_flag,0.346444,0.2,0.2,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,19.8,-0.025308
False,1,unfavorable,prior_flag,0.340244,0.25,0.25,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,24.75,-0.031508
False,1,unfavorable,prior_flag,0.334098,0.3,0.3,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,29.7,-0.037654
False,1,unfavorable,prior_flag,0.328008,0.35,0.35,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,34.65,-0.043744
False,1,unfavorable,prior_flag,0.321975,0.4,0.4,Historical marker should not be used as an action recommendation.,False,unfavorable,0.371752,0.0,39.6,-0.049777
False,1,unfavorable,risk_adjustment,0.378197,0.622776,0.05,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,4.95,0.006445
False,1,unfavorable,risk_adjustment,0.384685,0.672776,0.1,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,9.9,0.012933
False,1,unfavorable,risk_adjustment,0.391215,0.722776,0.15,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,14.85,0.019463
False,1,unfavorable,risk_adjustment,0.397784,0.772776,0.2,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,19.8,0.026032
False,1,unfavorable,risk_adjustment,0.404389,0.822776,0.25,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,24.75,0.032637
False,1,unfavorable,risk_adjustment,0.41103,0.872776,0.3,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,29.7,0.039278
False,1,unfavorable,risk_adjustment,0.417703,0.922776,0.35,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,34.65,0.045951
False,1,unfavorable,risk_adjustment,0.424407,0.972776,0.4,Internal model component is not directly actionable.,False,unfavorable,0.371752,0.572776,39.6,0.052655
True,2,favorable,baseline_score,0.73766,0.677206,0.05,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.07,0.01427
True,2,favorable,baseline_score,0.751446,0.727206,0.1,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.14,0.028056
True,2,favorable,baseline_score,0.764739,0.777206,0.15,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.21,0.041349
True,2,favorable,baseline_score,0.777532,0.827206,0.2,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.28,0.054142
True,2,favorable,baseline_score,0.78982,0.877206,0.25,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.35,0.06643
True,2,favorable,baseline_score,0.801603,0.927206,0.3,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.42,0.078213
True,2,favorable,baseline_score,0.812881,0.977206,0.35,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.49,0.089491
True,2,favorable,baseline_score,0.817857,1.0,0.372794,Can improve through documented qualifying activity but may take time.,False,favorable,0.72339,0.627206,0.521912,0.094467
True,2,favorable,document_quality,0.735234,0.490909,0.05,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.0375,0.011844
True,2,favorable,document_quality,0.746748,0.540909,0.1,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.075,0.023358
True,2,favorable,document_quality,0.757926,0.590909,0.15,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.1125,0.034536
True,2,favorable,document_quality,0.768763,0.640909,0.2,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.15,0.045373
True,2,favorable,document_quality,0.779257,0.690909,0.25,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.1875,0.055867
True,2,favorable,document_quality,0.789405,0.740909,0.3,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.225,0.066015
