bias,learning_rate,loss,step,weight
0.0,0.08,10.189267,0,0.0
0.239289,0.08,5.85623,1,0.5824
0.440292,0.08,3.415512,2,1.009493
0.609134,0.08,2.024974,3,1.322695
0.750961,0.08,1.222155,4,1.552376
0.870096,0.08,0.751595,5,1.720809
0.97017,0.08,0.471147,6,1.844327
1.054232,0.08,0.301,7,1.934906
1.124843,0.08,0.195861,8,2.001331
1.184157,0.08,0.129697,9,2.050043
1.233981,0.08,0.087325,10,2.085765
1.275833,0.08,0.059748,11,2.111961
1.310989,0.08,0.041537,12,2.131171
1.340519,0.08,0.029358,13,2.145259
1.365325,0.08,0.021125,14,2.15559
1.386162,0.08,0.015511,15,2.163166
1.403665,0.08,0.011653,16,2.168722
1.418367,0.08,0.008987,17,2.172796
1.430718,0.08,0.007137,18,2.175784
1.441092,0.08,0.005847,19,2.177975
1.449806,0.08,0.004946,20,2.179581
1.457126,0.08,0.004315,21,2.18076
1.463275,0.08,0.003872,22,2.181624
1.46844,0.08,0.003561,23,2.182257
1.472778,0.08,0.003342,24,2.182722
1.476422,0.08,0.003188,25,2.183063
1.479484,0.08,0.003079,26,2.183313
1.482055,0.08,0.003003,27,2.183496
1.484215,0.08,0.002949,28,2.18363
1.48603,0.08,0.002911,29,2.183729
1.487554,0.08,0.002884,30,2.183801
1.488834,0.08,0.002865,31,2.183854
1.48991,0.08,0.002852,32,2.183893
1.490813,0.08,0.002843,33,2.183922
1.491572,0.08,0.002836,34,2.183943
1.492209,0.08,0.002831,35,2.183958
1.492745,0.08,0.002828,36,2.183969
1.493194,0.08,0.002826,37,2.183977
1.493572,0.08,0.002824,38,2.183983
1.493889,0.08,0.002823,39,2.183988
1.494156,0.08,0.002822,40,2.183991
1.49438,0.08,0.002822,41,2.183993
1.494568,0.08,0.002821,42,2.183995
1.494726,0.08,0.002821,43,2.183996
1.494859,0.08,0.002821,44,2.183997
1.49497,0.08,0.002821,45,2.183998
1.495064,0.08,0.00282,46,2.183999
1.495143,0.08,0.00282,47,2.183999
1.495209,0.08,0.00282,48,2.183999
1.495264,0.08,0.00282,49,2.183999
1.495311,0.08,0.00282,50,2.184
1.49535,0.08,0.00282,51,2.184
1.495383,0.08,0.00282,52,2.184
1.49541,0.08,0.00282,53,2.184
1.495434,0.08,0.00282,54,2.184
1.495453,0.08,0.00282,55,2.184
1.49547,0.08,0.00282,56,2.184
1.495483,0.08,0.00282,57,2.184
1.495495,0.08,0.00282,58,2.184
1.495505,0.08,0.00282,59,2.184
1.495513,0.08,0.00282,60,2.184
1.49552,0.08,0.00282,61,2.184
1.495525,0.08,0.00282,62,2.184
1.49553,0.08,0.00282,63,2.184
1.495534,0.08,0.00282,64,2.184
1.495538,0.08,0.00282,65,2.184
1.495541,0.08,0.00282,66,2.184
1.495543,0.08,0.00282,67,2.184
1.495545,0.08,0.00282,68,2.184
1.495547,0.08,0.00282,69,2.184
1.495548,0.08,0.00282,70,2.184
1.495549,0.08,0.00282,71,2.184
1.49555,0.08,0.00282,72,2.184
1.495551,0.08,0.00282,73,2.184
1.495552,0.08,0.00282,74,2.184
1.495552,0.08,0.00282,75,2.184
1.495553,0.08,0.00282,76,2.184
1.495553,0.08,0.00282,77,2.184
1.495554,0.08,0.00282,78,2.184
1.495554,0.08,0.00282,79,2.184
1.495554,0.08,0.00282,80,2.184
