calculator,metric,value
finite_difference_derivative,x,1.0
finite_difference_derivative,h,0.0001
finite_difference_derivative,estimate,0.5403023049677103
finite_difference_derivative,true_value,0.5403023058681398
finite_difference_derivative,absolute_error,9.004295087322589e-10
trapezoid_integral,n,200
trapezoid_integral,estimate,1.9999588764792162
trapezoid_integral,true_value,2.0
trapezoid_integral,absolute_error,4.112352078378123e-05
rk4_growth,estimate,7.389055360630587
rk4_growth,true_value,7.38905609893065
rk4_growth,absolute_error,7.383000637517512e-07
rk4_growth,h,0.125
rk4_growth,t_end,5.0
monte_carlo_pi,samples,10000
monte_carlo_pi,seed,42
monte_carlo_pi,estimate,3.126
monte_carlo_pi,true_value,3.141592653589793
monte_carlo_pi,absolute_error,0.015592653589793226
