"detection_probability","penalty","reward","manipulation_cost","net_gain","manipulation_attractive"
0,0,10,3,7,TRUE
0.25,0,10,3,7,TRUE
0.5,0,10,3,7,TRUE
0.75,0,10,3,7,TRUE
1,0,10,3,7,TRUE
0,3,10,3,7,TRUE
0.25,3,10,3,6.25,TRUE
0.5,3,10,3,5.5,TRUE
0.75,3,10,3,4.75,TRUE
1,3,10,3,4,TRUE
0,6,10,3,7,TRUE
0.25,6,10,3,5.5,TRUE
0.5,6,10,3,4,TRUE
0.75,6,10,3,2.5,TRUE
1,6,10,3,1,TRUE
0,9,10,3,7,TRUE
0.25,9,10,3,4.75,TRUE
0.5,9,10,3,2.5,TRUE
0.75,9,10,3,0.25,TRUE
1,9,10,3,-2,FALSE
0,12,10,3,7,TRUE
0.25,12,10,3,4,TRUE
0.5,12,10,3,1,TRUE
0.75,12,10,3,-2,FALSE
1,12,10,3,-5,FALSE
