reward,manipulation_cost,penalty,detection_probability,net_gain,manipulation_attractive
10.0,3.0,0.0,0.0,7.0,True
10.0,3.0,3.0,0.0,7.0,True
10.0,3.0,6.0,0.0,7.0,True
10.0,3.0,9.0,0.0,7.0,True
10.0,3.0,12.0,0.0,7.0,True
10.0,3.0,0.0,0.25,7.0,True
10.0,3.0,3.0,0.25,6.25,True
10.0,3.0,6.0,0.25,5.5,True
10.0,3.0,9.0,0.25,4.75,True
10.0,3.0,12.0,0.25,4.0,True
10.0,3.0,0.0,0.5,7.0,True
10.0,3.0,3.0,0.5,5.5,True
10.0,3.0,6.0,0.5,4.0,True
10.0,3.0,9.0,0.5,2.5,True
10.0,3.0,12.0,0.5,1.0,True
10.0,3.0,0.0,0.75,7.0,True
10.0,3.0,3.0,0.75,4.75,True
10.0,3.0,6.0,0.75,2.5,True
10.0,3.0,9.0,0.75,0.25,True
10.0,3.0,12.0,0.75,-2.0,False
10.0,3.0,0.0,1.0,7.0,True
10.0,3.0,3.0,1.0,4.0,True
10.0,3.0,6.0,1.0,1.0,True
10.0,3.0,9.0,1.0,-2.0,False
10.0,3.0,12.0,1.0,-5.0,False
