alpha,beta,evidence_note,interpretation,observations_added,p05,p95,posterior_mean,posterior_median,posterior_sd,posterior_variance,probability_above_threshold,scenario,stage,successes_added,threshold
2.0,8.0,Initial prior before sequential evidence.,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,0,0.0411,0.4291,0.2,0.1797,0.120605,0.01454545,0.003801,skeptical_prior,start_prior,0,0.6
13.0,17.0,Initial sample with moderate success rate,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,20,0.2893,0.5825,0.433333,0.4319,0.089001,0.00792115,0.032884,skeptical_prior,after_batch_1,11,0.6
37.0,28.0,Second evidence batch shows stronger signal,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,35,0.4677,0.6683,0.569231,0.5699,0.060953,0.00371526,0.311765,skeptical_prior,after_batch_2,24,0.6
68.0,47.0,Larger follow-up sample refines belief,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,50,0.5153,0.6655,0.591304,0.5919,0.045643,0.00208331,0.429306,skeptical_prior,after_batch_3,31,0.6
115.0,80.0,Additional evidence narrows posterior uncertainty,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,80,0.5315,0.6471,0.589744,0.5901,0.035134,0.00123442,0.388645,skeptical_prior,after_batch_4,47,0.6
2.0,2.0,Initial prior before sequential evidence.,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,0,0.1353,0.8647,0.5,0.5001,0.223607,0.05,0.352,balanced_prior,start_prior,0,0.6
13.0,11.0,Initial sample with moderate success rate,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,20,0.3753,0.7039,0.541667,0.5429,0.099652,0.00993056,0.287089,balanced_prior,after_batch_1,11,0.6
37.0,22.0,Second evidence batch shows stronger signal,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,35,0.5219,0.7273,0.627119,0.6285,0.062429,0.00389735,0.6729,balanced_prior,after_batch_2,24,0.6
68.0,41.0,Larger follow-up sample refines belief,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,50,0.5465,0.6985,0.623853,0.6247,0.046187,0.00213328,0.700308,balanced_prior,after_batch_3,31,0.6
115.0,74.0,Additional evidence narrows posterior uncertainty,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,80,0.5495,0.6661,0.608466,0.6089,0.03541,0.00125387,0.598055,balanced_prior,after_batch_4,47,0.6
8.0,2.0,Initial prior before sequential evidence.,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,0,0.5709,0.9589,0.8,0.8203,0.120605,0.01454545,0.929456,optimistic_prior,start_prior,0,0.6
19.0,11.0,Initial sample with moderate success rate,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,20,0.4857,0.7707,0.633333,0.6363,0.086551,0.00749104,0.657335,optimistic_prior,after_batch_1,11,0.6
43.0,22.0,Second evidence batch shows stronger signal,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,35,0.5629,0.7545,0.661538,0.6633,0.058245,0.0033925,0.852485,optimistic_prior,after_batch_2,24,0.6
74.0,41.0,Larger follow-up sample refines belief,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,50,0.5689,0.7153,0.643478,0.6443,0.044471,0.00197771,0.835145,optimistic_prior,after_batch_3,31,0.6
121.0,74.0,Additional evidence narrows posterior uncertainty,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,80,0.5627,0.6769,0.620513,0.6209,0.034661,0.00120141,0.724935,optimistic_prior,after_batch_4,47,0.6
1.0,1.0,Initial prior before sequential evidence.,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,0,0.0499,0.9499,0.5,0.4999,0.288675,0.08333333,0.4,weak_prior,start_prior,0,0.6
12.0,10.0,Initial sample with moderate success rate,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,20,0.3719,0.7141,0.545455,0.5469,0.103825,0.01077973,0.308558,weak_prior,after_batch_1,11,0.6
36.0,21.0,Second evidence batch shows stronger signal,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,35,0.5247,0.7331,0.631579,0.6331,0.063339,0.00401184,0.695301,weak_prior,after_batch_2,24,0.6
67.0,40.0,Larger follow-up sample refines belief,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,50,0.5483,0.7015,0.626168,0.6269,0.046556,0.00216742,0.715727,weak_prior,after_batch_3,31,0.6
114.0,73.0,Additional evidence narrows posterior uncertainty,Posterior summaries show how evidence updates belief and uncertainty under the selected prior.,80,0.5505,0.6675,0.609626,0.6101,0.035579,0.00126586,0.610128,weak_prior,after_batch_4,47,0.6
