baseline_decision,baseline_outcome,case_id,decision_changed,description,estimated_effect,governance_risk,implementation_cost,interpretation,intervention_decision,intervention_name,intervention_outcome,modeled_access_barrier,modeled_service_quality,modeled_support_intensity,net_benefit
monitor,0.350238,1,False,Increase support intensity while leaving barriers largely unchanged.,0.039124,0.07,0.18,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,increase_support,0.389362,0.807233,0.454019,0.442197,-0.034376
monitor,0.350238,1,False,Reduce access barriers through institutional redesign.,0.050115,0.05,0.22,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,reduce_access_barrier,0.400353,0.627233,0.464019,0.302197,-0.034385
monitor,0.350238,1,False,Improve service quality and implementation reliability.,0.046999,0.04,0.2,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,improve_service_quality,0.397237,0.777233,0.614019,0.312197,-0.029001
monitor,0.350238,1,False,"Combine support, access, and quality improvements.",0.077523,0.1,0.34,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,combined_policy,0.427761,0.667233,0.534019,0.402197,-0.056477
monitor,0.350238,1,False,Change the action threshold without changing underlying conditions.,0.0,0.14,0.05,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,threshold_rule_change,0.350238,0.807233,0.434019,0.282197,-0.0385
monitor,0.412619,2,False,Increase support intensity while leaving barriers largely unchanged.,0.041225,0.07,0.18,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,increase_support,0.453844,1.0,0.514278,0.69807,-0.032275
monitor,0.412619,2,False,Reduce access barriers through institutional redesign.,0.052649,0.05,0.22,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,reduce_access_barrier,0.465268,0.82,0.524278,0.55807,-0.031851
monitor,0.412619,2,False,Improve service quality and implementation reliability.,0.049417,0.04,0.2,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,improve_service_quality,0.462036,0.97,0.674278,0.56807,-0.026583
monitor,0.412619,2,False,"Combine support, access, and quality improvements.",0.080844,0.1,0.34,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,combined_policy,0.493463,0.86,0.594278,0.65807,-0.053156
monitor,0.412619,2,False,Change the action threshold without changing underlying conditions.,-0.0,0.14,0.05,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,threshold_rule_change,0.412619,1.0,0.494278,0.53807,-0.0385
monitor,0.568279,3,False,Increase support intensity while leaving barriers largely unchanged.,0.040655,0.07,0.18,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,increase_support,0.608934,0.242368,0.733649,0.585091,-0.032845
monitor,0.568279,3,False,Reduce access barriers through institutional redesign.,0.051552,0.05,0.22,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,reduce_access_barrier,0.619831,0.062368,0.743649,0.445091,-0.032948
monitor,0.568279,3,False,Improve service quality and implementation reliability.,0.048484,0.04,0.2,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,improve_service_quality,0.616763,0.212368,0.893649,0.455091,-0.027516
monitor,0.568279,3,True,"Combine support, access, and quality improvements.",0.077796,0.1,0.34,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,act,combined_policy,0.646075,0.102368,0.813649,0.545091,-0.056204
monitor,0.568279,3,False,Change the action threshold without changing underlying conditions.,-0.0,0.14,0.05,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,threshold_rule_change,0.568279,0.242368,0.713649,0.425091,-0.0385
monitor,0.314588,4,False,Increase support intensity while leaving barriers largely unchanged.,0.037299,0.07,0.18,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,increase_support,0.351887,0.878933,0.408973,0.311839,-0.036201
monitor,0.314588,4,False,Reduce access barriers through institutional redesign.,0.04786,0.05,0.22,Scenario outcome is modeled under explicit assumptions; it is not proof of real-world causal effect.,monitor,reduce_access_barrier,0.362448,0.698933,0.418973,0.171839,-0.03664
