group,interpretation,noise_sd,observed_y,row_id,split,true_signal,x
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.102401,train_0001,train,-0.886867,-0.76176
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.914937,train_0002,train,0.918344,0.720001
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.842777,train_0003,train,-0.883544,-0.794726
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.027346,train_0004,train,0.786762,0.113118
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.713928,train_0005,train,0.992377,0.566747
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.832733,train_0006,train,0.918992,0.536231
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.704672,train_0007,train,0.818784,0.502052
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.658321,train_0008,train,0.727287,0.228409
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.803187,train_0009,train,-0.883307,-0.778527
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.877076,train_0010,train,1.056742,0.629525
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.486611,train_0011,train,0.539695,0.370356
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.434784,train_0012,train,-0.323091,-0.496974
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.958276,train_0013,train,0.664314,0.959825
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.608605,train_0014,train,0.748477,0.999312
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.699987,train_0015,train,0.5543,0.027175
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.864905,train_0016,train,0.789145,0.114901
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.33832,train_0017,train,0.016727,-0.415756
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.673531,train_0018,train,0.576276,0.407951
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.092542,train_0019,train,0.812399,0.154847
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.179217,train_0020,train,0.135317,-0.272916
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.145676,train_0021,train,0.046559,-0.155565
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.579842,train_0022,train,0.437899,-0.00309
