time,event,window_size,window_items,counts
1,A,5,A,"{""A"": 1}"
2,B,5,A|B,"{""A"": 1, ""B"": 1}"
3,A,5,A|B|A,"{""A"": 2, ""B"": 1}"
4,C,5,A|B|A|C,"{""A"": 2, ""B"": 1, ""C"": 1}"
5,A,5,A|B|A|C|A,"{""A"": 3, ""B"": 1, ""C"": 1}"
6,D,5,B|A|C|A|D,"{""A"": 2, ""B"": 1, ""C"": 1, ""D"": 1}"
7,B,5,A|C|A|D|B,"{""A"": 2, ""B"": 1, ""C"": 1, ""D"": 1}"
8,E,5,C|A|D|B|E,"{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1, ""E"": 1}"
9,A,5,A|D|B|E|A,"{""A"": 2, ""B"": 1, ""D"": 1, ""E"": 1}"
10,C,5,D|B|E|A|C,"{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1, ""E"": 1}"
11,F,5,B|E|A|C|F,"{""A"": 1, ""B"": 1, ""C"": 1, ""E"": 1, ""F"": 1}"
12,A,5,E|A|C|F|A,"{""A"": 2, ""C"": 1, ""E"": 1, ""F"": 1}"
