baseline_capacity,hidden_need_unobserved_in_real_study,individual_true_effect,institutional_access,interpretation,observed_outcome,potential_outcome_control,potential_outcome_treated,prior_risk,treatment,treatment_probability,unit_id
0.528474,0.469784,0.231089,0.361863,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.493029,0.26194,0.493029,0.11912,1,0.360751,1
0.327211,0.343534,0.205775,0.39308,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.475443,0.475443,0.681218,0.601031,0,0.578371,2
0.36702,0.572863,0.20097,0.608624,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.583733,0.583733,0.784703,0.751026,0,0.691078,3
0.285596,0.50344,0.210582,0.761731,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.68812,0.477539,0.68812,0.449655,1,0.612665,4
0.312319,0.898588,0.190173,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.977248,0.787074,0.977248,0.979912,1,0.840182,5
0.453334,0.182121,0.219984,0.48831,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.417882,0.417882,0.637866,0.340395,0,0.460364,6
0.5685,0.445334,0.213958,0.96295,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.796427,0.582469,0.796427,0.577423,1,0.660259,7
0.467187,0.303392,0.210587,0.595151,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.487216,0.487216,0.697803,0.585718,0,0.591833,8
0.451648,0.223002,0.213908,0.783577,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.770967,0.557059,0.770967,0.491031,1,0.588044,9
0.53263,0.57639,0.215259,0.795873,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.519355,0.519355,0.734615,0.517987,0,0.620097,10
0.600191,0.46372,0.202533,0.954767,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.852525,0.649992,0.852525,0.886825,1,0.760789,11
0.269248,0.321792,0.192641,0.61463,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.690962,0.690962,0.883603,0.885921,0,0.730812,12
0.355305,0.469401,0.208834,0.426243,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.834786,0.625952,0.834786,0.545632,1,0.569907,13
0.402971,0.51045,0.212933,0.803554,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.782755,0.569822,0.782755,0.478893,1,0.617799,14
0.333765,0.423012,0.203787,0.537586,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.543387,0.543387,0.747174,0.655643,0,0.634887,15
0.524446,0.598962,0.225329,0.39532,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.239373,0.239373,0.464702,0.260111,0,0.434478,16
0.304725,0.748706,0.192851,0.835554,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.902576,0.709725,0.902576,0.907266,1,0.794401,17
0.39491,1.0,0.200444,0.533768,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.605143,0.605143,0.805587,0.785084,0,0.717459,18
0.573675,0.452761,0.218044,0.790502,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.464865,0.464865,0.68291,0.479146,0,0.587942,19
0.516984,0.722291,0.219057,0.615857,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.458487,0.458487,0.677544,0.411311,0,0.554928,20
0.455204,0.226803,0.230333,0.605997,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.211384,0.211384,0.441717,0.083066,0,0.384894,21
0.380409,0.522747,0.204673,0.634923,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.662616,0.662616,0.86729,0.668477,0,0.660698,22
0.381703,0.764399,0.193454,0.481451,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.916962,0.723508,0.916962,0.949936,1,0.747294,23
0.295128,0.907166,0.190523,0.922225,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.831094,0.831094,1.021617,0.958277,0,0.827817,24
0.39171,0.390626,0.200414,0.862626,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.898216,0.697802,0.898216,0.783438,1,0.730504,25
0.572695,0.479858,0.229313,0.680172,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.560429,0.331116,0.560429,0.196697,1,0.451568,26
0.485493,0.355469,0.220429,0.63632,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.625749,0.40532,0.625749,0.353403,1,0.507844,27
0.865335,0.183489,0.232918,0.942274,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.501576,0.268657,0.501576,0.326043,1,0.494298,28
0.53134,0.345547,0.215156,0.520473,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.596714,0.381558,0.596714,0.519614,1,0.544499,29
0.89789,0.654674,0.23097,0.778156,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.401417,0.401417,0.632387,0.399157,0,0.52631,30
0.39594,0.458333,0.213805,0.657361,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.546009,0.332204,0.546009,0.451821,1,0.573687,31
0.298584,0.664261,0.20776,0.719791,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.55057,0.55057,0.75833,0.529937,0,0.646682,32
0.569448,0.618791,0.221485,0.473671,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.662069,0.440584,0.662069,0.389971,1,0.499863,33
0.494065,0.314667,0.224284,0.297277,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.595494,0.37121,0.595494,0.263444,1,0.395504,34
0.744972,0.590412,0.223067,0.894906,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.318685,0.318685,0.541752,0.482053,0,0.5994,35
0.502084,0.359288,0.225809,0.957323,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.337332,0.337332,0.563142,0.231335,0,0.52374,36
0.016878,0.646982,0.186527,0.525334,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.948136,0.761609,0.948136,0.849493,1,0.753127,37
0.450097,0.52449,0.21061,0.597377,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.630831,0.420221,0.630831,0.572332,1,0.607815,38
0.671459,0.364238,0.231566,0.559901,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.523612,0.292045,0.523612,0.214435,1,0.410455,39
0.66112,0.671786,0.201639,0.899422,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.741062,0.539423,0.741062,0.954876,1,0.779295,40
0.443706,0.655041,0.208108,0.550137,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.699511,0.491403,0.699511,0.630087,1,0.63239,41
0.63498,0.674223,0.228615,0.78111,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.538877,0.310262,0.538877,0.260858,1,0.507774,42
0.611156,0.555581,0.237717,0.585449,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.344689,0.344689,0.582407,0.01543,0,0.361562,43
0.625889,0.4734,0.201332,0.58077,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.735618,0.534286,0.735618,0.936111,1,0.712937,44
0.518915,0.232287,0.198578,0.712099,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.664028,0.664028,0.862606,0.924744,0,0.726514,45
0.293507,0.761661,0.201347,0.883134,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.618228,0.618228,0.819575,0.686463,0,0.738557,46
0.338512,0.760226,0.215903,0.61427,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.716924,0.501021,0.716924,0.356318,1,0.559702,47
0.334359,0.713094,0.191699,0.798732,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.665746,0.665746,0.857445,0.958284,0,0.798312,48
0.650694,0.52072,0.217835,0.547932,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.411597,0.411597,0.629431,0.542157,0,0.5584,49
0.698151,0.261863,0.236213,0.695687,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.415515,0.179302,0.415515,0.118283,1,0.387976,50
0.596195,0.563125,0.214761,0.573497,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.774722,0.559961,0.774722,0.578127,1,0.589178,51
0.457521,0.655271,0.228717,0.323414,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.276694,0.276694,0.505412,0.125208,0,0.379706,52
0.574628,0.426887,0.22704,0.632108,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.668972,0.441932,0.668972,0.254974,1,0.460424,53
0.488318,0.594136,0.22206,0.849278,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.363233,0.363233,0.585293,0.314745,0,0.557393,54
0.377602,0.51323,0.192876,0.630333,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.781267,0.588391,0.781267,0.961306,1,0.758393,55
0.548937,0.164623,0.210153,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.57129,0.57129,0.781443,0.657868,0,0.677255,56
0.307118,0.319407,0.194729,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.807313,0.807313,1.002042,0.862107,0,0.779946,57
0.420837,0.515008,0.223325,0.682197,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.468136,0.468136,0.69146,0.232513,0,0.490578,58
0.485987,0.466041,0.212628,0.363082,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.438613,0.438613,0.651241,0.548796,0,0.539903,59
0.357384,0.5717,0.22457,0.93197,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.290554,0.290554,0.515125,0.15378,0,0.524841,60
0.379849,0.462244,0.199581,0.684487,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.906144,0.706563,0.906144,0.795366,1,0.71034,61
0.457819,0.680698,0.204154,0.754734,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.956595,0.752441,0.956595,0.73952,1,0.710575,62
0.464314,0.753839,0.211024,0.851051,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.753943,0.542919,0.753943,0.572629,1,0.674081,63
0.54293,0.416511,0.229966,0.510345,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.475443,0.245477,0.475443,0.158044,1,0.399328,64
0.373518,0.487465,0.229542,0.295126,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.343504,0.343504,0.573046,0.041589,0,0.33954,65
0.522181,0.49409,0.221376,0.746867,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.419122,0.419122,0.640498,0.357223,0,0.539912,66
0.598697,0.885479,0.21876,0.369356,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.331298,0.331298,0.550059,0.480012,0,0.534099,67
0.527801,0.345057,0.228999,0.47662,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.29905,0.29905,0.528048,0.170885,0,0.393546,68
0.359709,0.71633,0.210192,0.859446,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.775235,0.565043,0.775235,0.514992,1,0.664439,69
0.763084,0.748108,0.234245,0.739562,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.497776,0.497776,0.732021,0.216191,0,0.46941,70
0.258991,0.509676,0.192811,0.725205,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.808135,0.615324,0.808135,0.873977,1,0.758492,71
0.588304,0.767362,0.201269,0.917043,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.772306,0.571037,0.772306,0.909499,1,0.781626,72
0.670677,0.704313,0.216708,0.95627,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.789316,0.572608,0.789316,0.585315,1,0.669569,73
0.602847,0.460107,0.207954,0.747184,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.554588,0.554588,0.762541,0.753292,0,0.680813,74
0.338705,0.7553,0.201207,0.830587,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.971944,0.770736,0.971944,0.723849,1,0.736609,75
0.67588,0.332336,0.21271,0.524732,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.761262,0.548552,0.761262,0.689161,1,0.593324,76
0.309474,0.54701,0.223109,0.57398,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.4305,0.4305,0.653609,0.154379,0,0.453597,77
0.391405,0.636337,0.218941,0.729401,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.761139,0.542198,0.761139,0.320035,1,0.551193,78
0.363438,0.65029,0.192013,0.688064,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.981779,0.789766,0.981779,0.97225,1,0.78019,79
0.32606,0.292188,0.228913,0.498616,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.395724,0.395724,0.624637,0.021721,0,0.361836,80
0.116284,0.609069,0.187147,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.883436,0.696289,0.883436,0.908542,1,0.82467,81
0.828646,0.45249,0.230773,0.433686,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.301472,0.301472,0.532245,0.35216,0,0.426123,82
0.732119,0.199123,0.231877,0.477627,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.343869,0.343869,0.575745,0.252174,0,0.386772,83
0.460768,0.676744,0.198256,0.728179,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.699746,0.699746,0.898002,0.889185,0,0.753904,84
0.571386,0.33783,0.226396,0.734352,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.382927,0.382927,0.609323,0.268644,0,0.48037,85
0.362986,0.501678,0.22773,0.488904,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.56187,0.33414,0.56187,0.078988,1,0.394567,86
0.562328,0.514083,0.228094,0.361209,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.379877,0.379877,0.60797,0.219404,0,0.398839,87
0.244604,0.733172,0.198865,0.617125,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.875463,0.676598,0.875463,0.711829,1,0.704985,88
0.040003,0.85134,0.21379,0.539465,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.478668,0.478668,0.692458,0.185258,0,0.522532,89
0.692938,0.458083,0.227137,0.487222,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.503007,0.503007,0.730145,0.341266,0,0.451761,90
0.577481,0.436041,0.235856,0.520749,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.207946,0.207946,0.443802,0.036715,0,0.351653,91
0.866519,0.314823,0.238046,0.544526,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.513385,0.275339,0.513385,0.198734,1,0.371535,92
0.662418,0.365475,0.223438,0.909168,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.326488,0.326488,0.549927,0.410859,0,0.565692,93
0.528901,0.281944,0.223923,0.540647,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.578012,0.35409,0.578012,0.298606,1,0.452651,94
0.610926,0.790601,0.22561,0.562382,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.615878,0.390267,0.615878,0.317936,1,0.49833,95
0.484412,0.313232,0.224233,0.954199,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.622163,0.39793,0.622163,0.25749,1,0.532238,96
0.668601,0.600351,0.215684,0.734184,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.80139,0.585707,0.80139,0.609355,1,0.627588,97
0.369352,0.689818,0.210533,0.705175,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.688816,0.478283,0.688816,0.513681,1,0.630711,98
0.906718,0.421219,0.213578,0.460591,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.757845,0.544267,0.757845,0.840584,1,0.617086,99
