baseline_capacity,institutional_access,interpretation,observed_outcome,potential_outcome_control,potential_outcome_treated,prior_risk,treatment,treatment_probability,true_effect,unit_id
0.527784,0.364246,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.265792,0.265792,0.445792,0.11912,0,0.360214,0.18,1
0.234008,0.777175,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.659984,0.479984,0.659984,0.601031,1,0.698656,0.18,2
0.203815,0.766726,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.775638,0.595638,0.775638,0.730539,1,0.747011,0.18,3
0.672914,0.82562,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.151179,0.151179,0.331179,0.110737,0,0.435028,0.18,4
0.363913,0.668211,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.887228,0.707228,0.887228,0.685178,1,0.693464,0.18,5
0.635934,0.699125,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.697957,0.517957,0.697957,0.805136,1,0.710311,0.18,6
0.459216,0.495117,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.61053,0.43053,0.61053,0.340395,1,0.495697,0.18,7
0.708172,0.497607,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.585992,0.405992,0.585992,0.577423,1,0.565203,0.18,8
0.611226,0.463319,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.589923,0.409923,0.589923,0.422217,1,0.502561,0.18,9
0.331709,0.880433,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.5254,0.5254,0.7054,0.750147,0,0.758345,0.18,10
0.662522,0.254538,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.220306,0.220306,0.400306,0.258643,0,0.376866,0.18,11
0.580234,0.601529,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.295157,0.295157,0.475157,0.224525,0,0.449518,0.18,12
0.602656,0.972504,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.709811,0.529811,0.709811,0.886825,1,0.787504,0.18,13
0.317048,0.786037,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.747792,0.567792,0.747792,0.885921,1,0.787825,0.18,14
0.447994,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.788676,0.608676,0.788676,0.929465,1,0.818206,0.18,15
0.249594,0.614812,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.591397,0.591397,0.771397,0.799802,0,0.73947,0.18,16
0.628023,0.619047,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.475342,0.295342,0.475342,0.433067,1,0.539877,0.18,17
0.294208,0.46322,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.410756,0.410756,0.590756,0.458227,0,0.56591,0.18,18
0.525392,0.400523,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.320115,0.320115,0.500115,0.260111,0,0.428845,0.18,19
0.471177,0.561937,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.522709,0.522709,0.702709,0.907266,0,0.741948,0.18,20
0.288467,0.457169,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.075192,0.075192,0.255192,0.098374,0,0.405029,0.18,21
0.545998,0.927843,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.732527,0.552527,0.732527,0.967268,1,0.809774,0.18,22
0.527741,0.535457,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.225183,0.225183,0.405183,0.266466,0,0.461304,0.18,23
0.806755,0.657504,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.1443,0.1443,0.3243,0.014033,0,0.33916,0.18,24
0.458318,0.607659,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.247157,0.247157,0.427157,0.083066,0,0.406469,0.18,25
