bias_adjusted_effect,distance_from_synthetic_truth,estimate_type,hypothetical_unmeasured_confounding_bias,interpretation,reported_effect
0.286835,0.071568,naive_difference_in_means,0.0,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.286835
0.256835,0.041568,naive_difference_in_means,0.03,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.286835
0.226835,0.011568,naive_difference_in_means,0.06,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.286835
0.196835,0.018432,naive_difference_in_means,0.09,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.286835
0.166835,0.048432,naive_difference_in_means,0.12,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.286835
0.22544,0.010173,stratified_adjustment_prior_risk,0.0,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.22544
0.19544,0.019827,stratified_adjustment_prior_risk,0.03,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.22544
0.16544,0.049827,stratified_adjustment_prior_risk,0.06,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.22544
0.13544,0.079827,stratified_adjustment_prior_risk,0.09,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.22544
0.10544,0.109827,stratified_adjustment_prior_risk,0.12,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.22544
0.216896,0.001629,inverse_probability_weighted_effect,0.0,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.216896
0.186896,0.028371,inverse_probability_weighted_effect,0.03,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.216896
0.156896,0.058371,inverse_probability_weighted_effect,0.06,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.216896
0.126896,0.088371,inverse_probability_weighted_effect,0.09,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.216896
0.096896,0.118371,inverse_probability_weighted_effect,0.12,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.216896
0.215267,0.0,standardized_g_computation_teaching_formula,0.0,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.215267
0.185267,0.03,standardized_g_computation_teaching_formula,0.03,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.215267
0.155267,0.06,standardized_g_computation_teaching_formula,0.06,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.215267
0.125267,0.09,standardized_g_computation_teaching_formula,0.09,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.215267
0.095267,0.12,standardized_g_computation_teaching_formula,0.12,Sensitivity row shows how a causal conclusion changes under hypothetical unmeasured confounding.,0.215267
