feature_access,feature_risk,interpretation,label,latent_group,predicted_probability,split,true_probability,unit_id
0.315246,0.796497,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.264158,test,0.250595,1
0.633811,0.456777,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.476696,train,0.556548,2
0.527061,0.016369,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.550911,train,0.721239,3
0.073811,0.869685,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.178362,train,0.226063,4
0.584277,0.413807,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.466873,train,0.571986,5
0.631129,0.382727,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.495869,test,0.586795,6
0.144446,0.829168,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.204353,train,0.226942,7
0.76741,0.556256,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.507771,train,0.597474,8
0.452028,0.276832,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.446835,train,0.612806,9
0.153717,0.70015,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.231269,train,0.234639,10
0.643768,0.705061,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.413631,test,0.53984,11
0.493826,0.230052,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.477799,train,0.673874,12
0.258774,0.663562,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.273475,test,0.283603,13
0.563842,0.707001,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.379663,train,0.459931,14
0.843455,0.06804,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.668454,train,0.779549,15
0.180149,0.743613,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.230993,train,0.237961,16
