layer_id,description,review_question
ancient_worked_procedures,Worked procedures for calculation measurement trade taxation and prediction,What makes an example reusable?
greek_demonstrated_procedure,Geometric construction proof and Euclidean repeated reduction,How does proof justify procedure?
indian_numeration_and_calculation,Place value zero numeration combinatorics and arithmetic methods,How does representation make calculation efficient?
chinese_procedural_mathematics,Problem collections counting rods tabular methods and administrative computation,How are procedures organized by task?
islamic_world_algorism_and_algebra,Algebra algorism tables cryptanalysis mechanical procedure and translation,How did procedures become explicit portable and teachable?
latin_reception_and_commercial_arithmetic,Arabic-Latin transfer Fibonacci merchant arithmetic and institutional adoption,How did methods become trusted and routine?
early_modern_symbolism_and_tables,Symbolic algebra logarithms tables calculus and printed manuals,How did notation compress and generalize procedures?
mechanical_and_programmable_machines,Calculators punched cards engines tabulators and programmable machines,How did procedures become embodied in machines?
logic_computability_and_turing_machines,Formal logic lambda calculus Turing machines undecidability and effective procedure,Where are the limits of method?
electronic_computing_and_software,Programs compilers operating systems databases and networks,How did algorithms become machine-executable infrastructure?
ai_platforms_and_governance,Machine learning platforms recommendations automation and institutional risk,How should algorithms be audited governed and contested?
