absolute_error,pi_estimate,samples,seed,true_pi
0.0584073464,3.2,100,1,3.1415926536
0.1415926536,3.0,100,2,3.1415926536
0.1415926536,3.0,100,3,3.1415926536
0.3015926536,2.84,100,4,3.1415926536
0.2615926536,2.88,100,5,3.1415926536
0.1415926536,3.0,100,6,3.1415926536
0.0184073464,3.16,100,7,3.1415926536
0.1384073464,3.28,100,8,3.1415926536
0.2584073464,3.4,100,9,3.1415926536
0.0215926536,3.12,100,10,3.1415926536
0.1815926536,2.96,100,11,3.1415926536
0.1784073464,3.32,100,12,3.1415926536
0.1384073464,3.28,100,13,3.1415926536
0.0184073464,3.16,100,14,3.1415926536
0.0215926536,3.12,100,15,3.1415926536
0.0584073464,3.2,100,16,3.1415926536
0.0584073464,3.2,100,17,3.1415926536
0.0215926536,3.12,100,18,3.1415926536
0.1784073464,3.32,100,19,3.1415926536
0.1784073464,3.32,100,20,3.1415926536
0.0295926536,3.112,1000,1,3.1415926536
0.0135926536,3.128,1000,2,3.1415926536
0.0264073464,3.168,1000,3,3.1415926536
0.0495926536,3.092,1000,4,3.1415926536
0.0135926536,3.128,1000,5,3.1415926536
0.0215926536,3.12,1000,6,3.1415926536
0.0104073464,3.152,1000,7,3.1415926536
0.0504073464,3.192,1000,8,3.1415926536
0.0015926536,3.14,1000,9,3.1415926536
0.0375926536,3.104,1000,10,3.1415926536
0.0144073464,3.156,1000,11,3.1415926536
0.0064073464,3.148,1000,12,3.1415926536
0.0304073464,3.172,1000,13,3.1415926536
0.0144073464,3.156,1000,14,3.1415926536
0.0295926536,3.112,1000,15,3.1415926536
0.0375926536,3.104,1000,16,3.1415926536
0.0215926536,3.12,1000,17,3.1415926536
0.0175926536,3.124,1000,18,3.1415926536
0.0264073464,3.168,1000,19,3.1415926536
0.0615926536,3.08,1000,20,3.1415926536
7.3464e-06,3.1416,10000,1,3.1415926536
0.0059926536,3.1356,10000,2,3.1415926536
0.0024073464,3.144,10000,3,3.1415926536
0.0024073464,3.144,10000,4,3.1415926536
0.0211926536,3.1204,10000,5,3.1415926536
0.0135926536,3.128,10000,6,3.1415926536
0.0080073464,3.1496,10000,7,3.1415926536
0.0116073464,3.1532,10000,8,3.1415926536
0.0060073464,3.1476,10000,9,3.1415926536
0.0164073464,3.158,10000,10,3.1415926536
0.0039926536,3.1376,10000,11,3.1415926536
0.0187926536,3.1228,10000,12,3.1415926536
0.0151926536,3.1264,10000,13,3.1415926536
0.0004073464,3.142,10000,14,3.1415926536
0.0016073464,3.1432,10000,15,3.1415926536
0.0135926536,3.128,10000,16,3.1415926536
0.0360073464,3.1776,10000,17,3.1415926536
0.0059926536,3.1356,10000,18,3.1415926536
0.0060073464,3.1476,10000,19,3.1415926536
0.0067926536,3.1348,10000,20,3.1415926536
