adaptation_rate,average_risk,capacity_investment,demand_growth,failure_rate,interpretation,name,noise_scale,periods,seed,stability_margin,sweep_type,threshold,threshold_crossings
0.3,0.496112,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,1,0.103888,seed_ensemble,0.6,9
0.3,0.387535,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,2,0.212465,seed_ensemble,0.6,0
0.3,0.441477,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,3,0.158523,seed_ensemble,0.6,0
0.3,0.4849,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,4,0.1151,seed_ensemble,0.6,0
0.3,0.420123,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,5,0.179877,seed_ensemble,0.6,1
0.3,0.449568,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,6,0.150432,seed_ensemble,0.6,2
0.3,0.461175,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,7,0.138825,seed_ensemble,0.6,0
0.3,0.603512,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,8,-0.003512,seed_ensemble,0.6,18
0.3,0.458515,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,9,0.141485,seed_ensemble,0.6,0
0.3,0.432146,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,10,0.167854,seed_ensemble,0.6,0
0.3,0.473717,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,11,0.126283,seed_ensemble,0.6,1
0.3,0.54616,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,12,0.05384,seed_ensemble,0.6,16
